,State,FIPS,Food Insecurity Rate,Number of Food Insecure Persons,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Weighted Annual Food Budget Shortfall,Cost Per Meal,Child food insecurity rate,Number of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Year
0,AK,2013.0,0.151,450.0,1.3,SNAP,1.85,other nutrition pgm,0.65,0.34,0.0,,,0.248,100.0,0.513,0.487,2009
1,AK,2016.0,0.136,750.0,1.3,SNAP,1.85,other nutrition pgm,0.5,0.33,0.17,,,0.178,100.0,0.327,0.673,2009
2,AK,2020.0,0.119,33260.0,1.3,SNAP,1.85,other nutrition pgm,0.34,0.15,0.51,,,0.186,13680.0,0.489,0.511,2009
3,AK,2050.0,0.211,3620.0,1.3,SNAP,1.85,other nutrition pgm,0.59,0.27,0.14,,,0.314,1940.0,0.75,0.25,2009
4,AK,2060.0,0.095,60.0,1.3,SNAP,1.85,other nutrition pgm,0.24,0.36,0.4,,,0.166,40.0,0.476,0.524,2009
5,AK,2068.0,0.133,200.0,1.3,SNAP,1.85,other nutrition pgm,0.28,0.09,0.63,,,0.2,60.0,0.435,0.565,2009
6,AK,2070.0,0.176,870.0,1.3,SNAP,1.85,other nutrition pgm,0.56,0.14,0.29,,,0.281,460.0,0.6,0.4,2009
7,AK,2090.0,0.126,12240.0,1.3,SNAP,1.85,other nutrition pgm,0.35,0.16,0.49,,,0.188,4790.0,0.502,0.498,2009
8,AK,2100.0,0.137,330.0,1.3,SNAP,1.85,other nutrition pgm,0.32,0.17,0.51,,,0.207,110.0,0.194,0.806,2009
9,AK,2110.0,0.107,3310.0,1.3,SNAP,1.85,other nutrition pgm,0.31,0.13,0.56,,,0.183,1340.0,0.368,0.632,2009
10,AK,2122.0,0.153,8120.0,1.3,SNAP,1.85,other nutrition pgm,0.42,0.22,0.37,,,0.232,3050.0,0.603,0.397,2009
11,AK,2130.0,0.129,1700.0,1.3,SNAP,1.85,other nutrition pgm,0.43,0.2,0.37,,,0.206,680.0,0.642,0.358,2009
12,AK,2150.0,0.131,1730.0,1.3,SNAP,1.85,other nutrition pgm,0.36,0.2,0.44,,,0.216,850.0,0.487,0.513,2009
13,AK,2164.0,0.177,250.0,1.3,SNAP,1.85,other nutrition pgm,0.64,0.13,0.23,,,0.263,150.0,0.668,0.332,2009
14,AK,2170.0,0.146,11960.0,1.3,SNAP,1.85,other nutrition pgm,0.37,0.16,0.47,,,0.224,5180.0,0.488,0.512,2009
15,AK,2180.0,0.211,1970.0,1.3,SNAP,1.85,other nutrition pgm,0.68,0.14,0.18,,,0.312,970.0,0.743,0.257,2009
16,AK,2185.0,0.122,820.0,1.3,SNAP,1.85,other nutrition pgm,0.53,0.18,0.3,,,0.202,470.0,0.615,0.385,2009
17,AK,2188.0,0.198,1470.0,1.3,SNAP,1.85,other nutrition pgm,0.62,0.28,0.1,,,0.288,770.0,0.786,0.214,2009
18,AK,2220.0,0.117,1030.0,1.3,SNAP,1.85,other nutrition pgm,0.34,0.22,0.44,,,0.175,360.0,0.473,0.527,2009
19,AK,2240.0,0.158,1070.0,1.3,SNAP,1.85,other nutrition pgm,0.41,0.24,0.35,,,0.234,500.0,0.642,0.358,2009
20,AK,2261.0,0.139,1320.0,1.3,SNAP,1.85,other nutrition pgm,0.34,0.27,0.39,,,0.213,520.0,0.501,0.499,2009
21,AK,2270.0,0.304,2310.0,1.3,SNAP,1.85,other nutrition pgm,0.86,0.14,0.0,,,0.436,1360.0,0.928,0.072,2009
22,AK,2282.0,0.142,60.0,1.3,SNAP,1.85,other nutrition pgm,0.16,0.35,0.49,,,0.214,30.0,0.45,0.55,2009
23,AK,2290.0,0.241,1400.0,1.3,SNAP,1.85,other nutrition pgm,0.71,0.21,0.08,,,0.364,580.0,0.769,0.231,2009
24,AL,1001.0,0.143,7100.0,1.3,SNAP,1.85,other nutrition pgm,0.31,0.22,0.47,3085290.0,2.60096,0.232,3230.0,0.476,0.524,2009
25,AL,1003.0,0.142,24450.0,1.3,SNAP,1.85,other nutrition pgm,0.33,0.29,0.38,10884090.0,2.66446,0.269,10800.0,0.548,0.452,2009
26,AL,1005.0,0.236,7010.0,1.3,SNAP,1.85,other nutrition pgm,0.61,0.14,0.25,3245490.0,2.77114,0.293,1990.0,0.911,0.089,2009
27,AL,1007.0,0.178,3820.0,1.3,SNAP,1.85,other nutrition pgm,0.39,0.24,0.37,1658350.0,2.59842,0.27,1380.0,0.651,0.349,2009
28,AL,1009.0,0.137,7750.0,1.3,SNAP,1.85,other nutrition pgm,0.35,0.34,0.31,3305260.0,2.5526999999999997,0.275,3830.0,0.491,0.509,2009
29,AL,1011.0,0.287,3130.0,1.3,SNAP,1.85,other nutrition pgm,0.69,0.11,0.21,1589920.0,3.0403800000000003,0.328,870.0,0.942,0.058,2009
30,AL,1013.0,0.244,4930.0,1.3,SNAP,1.85,other nutrition pgm,0.56,0.22,0.22,2087930.0,2.53492,0.297,1490.0,0.878,0.122,2009
31,AL,1015.0,0.176,19930.0,1.3,SNAP,1.85,other nutrition pgm,0.45,0.24,0.32,8711290.0,2.6162,0.282,7440.0,0.644,0.356,2009
32,AL,1017.0,0.249,8640.0,1.3,SNAP,1.85,other nutrition pgm,0.49,0.27,0.24,3563840.0,2.46888,0.315,2560.0,0.741,0.259,2009
33,AL,1019.0,0.164,4020.0,1.3,SNAP,1.85,other nutrition pgm,0.44,0.29,0.27,1714470.0,2.5526999999999997,0.305,1550.0,0.591,0.409,2009
