,STATE,IDCENSUS,NAME,COUNTY NUMBER,TOTAL ELEMENTARY-SECONDARY REVENUE,Total Revenue from Federal Sources,Total Revenue from State Sources,Total Revenue from Local Sources,TOTAL ELEMENTARY-SECONDARY EXPENDITURE,TOTAL CURRENT SPENDING FOR ELEMENTARY-SECONDARY PROGRAMS,TOTAL CURRENT SPENDING FOR INSTRUCTION,TOTAL CURRENT SPENDING FOR SUPPORT SERVICES,TOTAL CURRENT SPENDING FOR OTHER ELEMENTARY-SECONDARY PROGRAMS,TOTAL CURRENT SPENDING FOR NONELEMENTARY-SECONDARY PROGRAMS,TOTAL CAPITAL OUTLAY EXPENDITURE,Total salaries and wages,Total salaries and wages - Instruction,Total salaries and wages - Pupil support,Total salaries and wages - Instructional staff support,Total salaries and wages - General administration,Total salaries and wages - School administration ,Total salaries and wages - Operation and maintenance of plant,Total salaries and wages - Student transportation,Total salaries and wages - Business/central/other support services,Total salaries and wages - Food services,Total employee benefit payments,Total employee benefit payments - Instruction,Total employee benefit payments - Pupil support,Total employee benefit payments - Instructional staff,Total employee benefit payments - General administration,Total employee benefit payments - School administration,Total employee benefit payments - Operation and maintenance of plant,Total employee benefit payments - Student transportation,Total employee benefit payments - Business/central/other support services,Total employee benefit payments - Food services,Total employee benefit payments - Enterprise operations
0,1,1500100100000,AUTAUGA COUNTY SCHOOL DISTRICT,1001,82258,7240,55611,19407,81386,75918,45632,25005,5281,804,3730,43920,29999,2581,1085,670,3311,1480,2562,419,1709,18543,11810,960,422,212,1293,737,1857,136,1099,0
1,1,1500200100000,BALDWIN COUNTY SCHOOL DISTRICT,1003,372175,25803,159101,187271,339125,295130,172064,107749,15317,5502,30583,168614,110871,11897,7183,1702,14031,7956,7825,2317,4611,66868,42532,4314,2492,506,5207,4051,3870,824,3001,0
2,1,1500300100000,BARBOUR COUNTY SCHOOL DISTRICT,1005,10016,2269,5425,2322,10483,9951,4953,4215,783,177,205,5220,2973,281,128,468,430,129,413,70,254,2109,1180,113,44,154,153,72,211,25,143,0
3,1,1500300200000,EUFAULA CITY SCHOOL DISTRICT,1005,35701,3849,24304,7548,34594,27203,15982,9331,1890,5501,1695,14859,9637,1056,293,590,1382,528,251,484,548,6050,3847,374,112,179,532,311,142,165,371,0
4,1,1500400100000,BIBB COUNTY SCHOOL DISTRICT,1007,33360,3811,22704,6845,32480,31073,16758,11975,2340,900,78,17581,10679,1019,929,603,1479,423,1005,323,847,7209,4158,414,313,174,569,246,690,120,486,0
5,1,1500500100000,BLOUNT COUNTY SCHOOL DISTRICT,1009,77050,7614,51142,18294,89349,71027,40091,26525,4411,1134,16467,38326,25359,2151,1800,846,3081,1135,2168,308,1452,16145,10056,817,673,258,1179,562,1579,113,903,0
6,1,1500500200000,ONEONTA CITY SCHOOL DISTRICT,1009,14606,1049,9281,4276,14039,12732,7665,4133,934,804,224,7053,4760,467,307,253,527,187,210,68,270,2745,1794,137,118,81,205,105,113,27,166,0
7,1,1500600100000,BULLOCK COUNTY SCHOOL DISTRICT,1011,15944,3013,9920,3011,15664,14596,7291,6138,1167,340,610,8107,4764,376,457,559,599,244,454,176,394,3281,1863,139,156,166,231,115,295,64,235,0
8,1,1500700100000,BUTLER COUNTY SCHOOL DISTRICT,1013,30789,4780,19065,6944,30911,28252,15733,10442,2077,557,468,16571,10322,1329,550,956,1058,496,783,241,629,6677,3870,612,206,291,375,266,525,98,397,0
9,1,1500800200000,ANNISTON CITY SCHOOL DISTRICT,1015,24491,3972,13006,7513,24318,23504,12835,9072,1597,225,589,12005,8171,695,535,485,869,402,9,295,500,4764,3179,258,187,157,313,195,3,121,340,0
10,1,1500800300000,CALHOUN COUNTY SCHOOL DISTRICT,1015,88208,8585,56374,23249,105454,84082,45902,32554,5626,799,18284,46149,29177,3682,1910,895,3960,1986,2527,365,1570,20067,11889,1468,762,290,1509,981,1833,140,1180,0
11,1,1500800400000,JACKSONVILLE CITY SCHOOL DISTRICT,1015,16163,1781,9549,4833,15827,15028,8885,5009,1134,181,265,8305,5702,714,391,197,523,262,13,131,364,3216,2204,267,142,65,170,101,6,44,215,0
12,1,1500800500000,PIEDMONT CITY SCHOOL DISTRICT,1015,12347,1450,7973,2924,11113,10590,6251,3726,613,294,189,6295,4213,300,278,292,471,156,9,252,230,2373,1590,121,96,85,170,89,2,75,129,0
13,1,1500880100000,OXFORD CITY SCHOOL DISTRICT,1015,46090,3706,24512,17872,45394,42155,25082,14752,2321,113,1747,24358,16646,990,465,922,1972,1391,951,366,625,9658,6282,351,161,263,724,634,653,148,437,0
14,1,1500900100000,CHAMBERS COUNTY SCHOOL DISTRICT,1017,36150,5212,22094,8844,35764,34445,18398,12792,3255,485,345,19375,12026,1275,951,646,1459,574,1148,365,890,8139,4818,500,363,200,537,331,694,130,558,0
15,1,1500900200000,LANETT CITY SCHOOL DISTRICT,1017,9628,1625,6100,1903,9675,9155,5262,3146,747,155,344,5143,3277,235,216,214,415,134,185,200,227,2100,1337,82,79,60,157,71,114,74,120,0
16,1,1501000100000,CHEROKEE COUNTY SCHOOL DISTRICT,1019,43195,4793,25753,12649,45952,42172,22510,16638,3024,1009,2087,22440,14234,1698,622,698,1736,601,1259,328,971,8994,5426,632,216,218,653,278,821,114,588,0
17,1,1501100100000,CHILTON COUNTY SCHOOL DISTRICT,1021,71163,8944,47947,14272,68758,66254,41874,18724,5656,829,1094,38586,27104,1833,888,579,2547,1230,2004,548,1847,15288,10033,729,301,174,988,533,1218,218,1092,0
18,1,1501200100000,CHOCTAW COUNTY SCHOOL DISTRICT,1023,17057,2617,8198,6242,15394,14581,6533,6942,1106,366,40,7849,4301,534,512,520,496,147,625,230,381,3281,1623,250,185,163,180,105,429,88,239,0
19,1,1501300100000,CLARKE COUNTY SCHOOL DISTRICT,1025,27977,4208,17182,6587,29333,25707,13511,9813,2383,595,2235,14819,8984,800,705,329,1264,397,1056,373,818,6148,3434,297,226,87,492,222,709,150,519,0
20,1,1501370100000,THOMASVILLE CITY SCHOOL DISTRICT,1025,13079,1225,8145,3709,13768,12807,6918,5014,875,163,622,6885,4416,391,391,292,505,176,201,231,276,2702,1666,143,142,90,192,89,130,82,167,0
21,1,1501400100000,CLAY COUNTY SCHOOL DISTRICT,1027,18687,2114,13025,3548,18162,17389,10112,5931,1346,367,126,9932,6684,579,212,218,687,203,777,161,403,4246,2569,219,82,61,282,121,593,67,248,0
22,1,1501500100000,CLEBURNE COUNTY SCHOOL DISTRICT,1029,25720,2761,17623,5336,25398,24047,13799,8171,2077,260,630,13341,8670,676,430,235,1166,351,797,312,679,5563,3383,267,143,68,420,189,505,138,447,0
23,1,1501600100000,COFFEE COUNTY SCHOOL DISTRICT,1031,22344,2547,14602,5195,21762,20625,12074,7235,1316,79,828,10618,6919,656,437,431,827,211,516,196,394,4264,2645,242,145,119,341,112,342,76,238,0
24,1,1501600200000,ELBA CITY SCHOOL DISTRICT,1031,6978,1121,4160,1697,6818,6504,3350,2652,502,253,0,3628,2245,204,110,188,261,105,137,133,172,1473,893,78,39,63,102,59,77,48,109,0
25,1,1501600300000,ENTERPRISE CITY SCHOOL DISTRICT,1031,69525,6407,42954,20164,74808,62677,34042,24648,3987,781,10691,34311,22043,1915,1457,880,2892,1749,1585,554,1147,14355,8884,700,513,288,1045,896,1078,195,739,0
26,1,1501700100000,COLBERT COUNTY SCHOOL DISTRICT,1033,31454,3699,15797,11958,31162,29931,16118,11637,2176,622,240,17444,10675,1406,893,361,1226,714,1057,308,783,7181,4230,540,313,104,443,353,661,108,425,0
27,1,1501700200000,SHEFFIELD CITY SCHOOL DISTRICT,1033,13427,2024,7031,4372,12842,12347,6631,4688,1028,246,208,6917,4356,383,377,416,593,260,51,76,310,2678,1638,137,139,128,222,124,30,39,203,0
28,1,1501700300000,TUSCUMBIA CITY SCHOOL DISTRICT,1033,18524,1357,11912,5255,15285,14576,7848,5648,1080,166,213,8108,5112,598,356,352,642,304,50,278,377,3224,2008,247,125,106,240,132,13,94,250,0
29,1,1501750100000,MUSCLE SHOALS CITY SCHOOL DISTRICT,1033,31032,1777,16720,12535,31561,30048,18099,10100,1849,774,283,17045,11478,1077,340,744,1371,741,127,266,672,6305,4172,373,138,219,472,322,51,90,415,0
30,1,1501800100000,CONECUH COUNTY SCHOOL DISTRICT,1035,20217,2783,12373,5061,21716,20471,10881,8313,1277,312,688,10335,5989,594,501,416,1057,307,654,378,361,4328,2433,217,178,114,398,161,429,155,230,0
