,Year,State,Age Group (Years),State Rate,State Births,U.S. Births,U.S. Birth Rate,Unit
2340,2009,Alabama,15-19 years,48.3,"8,205","409,802",37.9,"per 1,000"
2341,2009,Alaska,15-19 years,43.2,"1,106","409,802",37.9,"per 1,000"
2342,2009,Arizona,15-19 years,48.6,"10,874","409,802",37.9,"per 1,000"
2343,2009,Arkansas,15-19 years,57.8,"5,753","409,802",37.9,"per 1,000"
2344,2009,California,15-19 years,34.9,"47,831","409,802",37.9,"per 1,000"
2345,2009,Colorado,15-19 years,37.7,"6,203","409,802",37.9,"per 1,000"
2346,2009,Connecticut,15-19 years,21.2,"2,605","409,802",37.9,"per 1,000"
2347,2009,Delaware,15-19 years,33.5,"1,081","409,802",37.9,"per 1,000"
2348,2009,District of Columbia,15-19 years,48.5,"1,034","409,802",37.9,"per 1,000"
2349,2009,Florida,15-19 years,36.6,"22,021","409,802",37.9,"per 1,000"
2350,2009,Georgia,15-19 years,47.0,"16,345","409,802",37.9,"per 1,000"
2351,2009,Hawaii,15-19 years,37.0,"1,547","409,802",37.9,"per 1,000"
2352,2009,Idaho,15-19 years,35.9,"2,038","409,802",37.9,"per 1,000"
2353,2009,Illinois,15-19 years,35.9,"16,196","409,802",37.9,"per 1,000"
2354,2009,Indiana,15-19 years,40.8,"9,527","409,802",37.9,"per 1,000"
2355,2009,Iowa,15-19 years,32.1,"3,421","409,802",37.9,"per 1,000"
2356,2009,Kansas,15-19 years,42.7,"4,233","409,802",37.9,"per 1,000"
2357,2009,Kentucky,15-19 years,49.7,"7,208","409,802",37.9,"per 1,000"
2358,2009,Louisiana,15-19 years,51.7,"8,413","409,802",37.9,"per 1,000"
2359,2009,Maine,15-19 years,24.0,"1,047","409,802",37.9,"per 1,000"
2360,2009,Maryland,15-19 years,30.7,"6,140","409,802",37.9,"per 1,000"
2361,2009,Massachusetts,15-19 years,19.5,"4,482","409,802",37.9,"per 1,000"
2362,2009,Michigan,15-19 years,31.9,"11,709","409,802",37.9,"per 1,000"
2363,2009,Minnesota,15-19 years,24.1,"4,384","409,802",37.9,"per 1,000"
2364,2009,Mississippi,15-19 years,62.2,"6,945","409,802",37.9,"per 1,000"
2365,2009,Missouri,15-19 years,40.6,"8,499","409,802",37.9,"per 1,000"
2366,2009,Montana,15-19 years,38.4,"1,264","409,802",37.9,"per 1,000"
2367,2009,Nebraska,15-19 years,34.8,"2,209","409,802",37.9,"per 1,000"
2368,2009,Nevada,15-19 years,44.0,"3,879","409,802",37.9,"per 1,000"
2369,2009,New Hampshire,15-19 years,16.4,765,"409,802",37.9,"per 1,000"
2370,2009,New Jersey,15-19 years,22.0,"6,408","409,802",37.9,"per 1,000"
2371,2009,New Mexico,15-19 years,60.3,"4,438","409,802",37.9,"per 1,000"
2372,2009,New York,15-19 years,24.2,"16,306","409,802",37.9,"per 1,000"
2373,2009,North Carolina,15-19 years,43.7,"14,093","409,802",37.9,"per 1,000"
2374,2009,North Dakota,15-19 years,28.7,663,"409,802",37.9,"per 1,000"
2375,2009,Ohio,15-19 years,37.9,"15,445","409,802",37.9,"per 1,000"
2376,2009,Oklahoma,15-19 years,57.4,"7,451","409,802",37.9,"per 1,000"
2377,2009,Oregon,15-19 years,32.5,"4,063","409,802",37.9,"per 1,000"
2378,2009,Pennsylvania,15-19 years,28.7,"12,850","409,802",37.9,"per 1,000"
2379,2009,Rhode Island,15-19 years,25.8,"1,051","409,802",37.9,"per 1,000"
2380,2009,South Carolina,15-19 years,47.0,"7,651","409,802",37.9,"per 1,000"
2381,2009,South Dakota,15-19 years,38.7,"1,092","409,802",37.9,"per 1,000"
2382,2009,Tennessee,15-19 years,48.4,"10,378","409,802",37.9,"per 1,000"
2383,2009,Texas,15-19 years,57.9,"52,656","409,802",37.9,"per 1,000"
2384,2009,Total U.S.,15-19 years,37.9,"409,802","409,802",37.9,"per 1,000"
2385,2009,Utah,15-19 years,30.7,"3,349","409,802",37.9,"per 1,000"
2386,2009,Vermont,15-19 years,17.3,393,"409,802",37.9,"per 1,000"
2387,2009,Virginia,15-19 years,30.4,"8,228","409,802",37.9,"per 1,000"
2388,2009,Washington,15-19 years,30.4,"6,866","409,802",37.9,"per 1,000"
2389,2009,West Virginia,15-19 years,48.2,"2,845","409,802",37.9,"per 1,000"
2390,2009,Wisconsin,15-19 years,29.4,"5,798","409,802",37.9,"per 1,000"
2391,2009,Wyoming,15-19 years,43.4,814,"409,802",37.9,"per 1,000"
2392,2010,Alabama,15-19 years,43.6,"7,343","367,678",34.2,"per 1,000"
2393,2010,Alaska,15-19 years,38.3,956,"367,678",34.2,"per 1,000"
2394,2010,Arizona,15-19 years,41.9,"9,389","367,678",34.2,"per 1,000"
2395,2010,Arkansas,15-19 years,52.5,"5,229","367,678",34.2,"per 1,000"
2396,2010,California,15-19 years,31.5,"43,149","367,678",34.2,"per 1,000"
2397,2010,Colorado,15-19 years,33.4,"5,474","367,678",34.2,"per 1,000"
2398,2010,Connecticut,15-19 years,18.7,"2,274","367,678",34.2,"per 1,000"
2399,2010,Delaware,15-19 years,30.5,974,"367,678",34.2,"per 1,000"
2400,2010,District of Columbia,15-19 years,45.4,951,"367,678",34.2,"per 1,000"
2401,2010,Florida,15-19 years,32.0,"19,127","367,678",34.2,"per 1,000"
2402,2010,Georgia,15-19 years,41.4,"14,378","367,678",34.2,"per 1,000"
2403,2010,Hawaii,15-19 years,32.5,"1,347","367,678",34.2,"per 1,000"
2404,2010,Idaho,15-19 years,33.0,"1,863","367,678",34.2,"per 1,000"
2405,2010,Illinois,15-19 years,33.0,"14,798","367,678",34.2,"per 1,000"
2406,2010,Indiana,15-19 years,37.3,"8,665","367,678",34.2,"per 1,000"
2407,2010,Iowa,15-19 years,28.6,"3,017","367,678",34.2,"per 1,000"
2408,2010,Kansas,15-19 years,39.3,"3,865","367,678",34.2,"per 1,000"
2409,2010,Kentucky,15-19 years,46.2,"6,684","367,678",34.2,"per 1,000"
2410,2010,Louisiana,15-19 years,47.7,"7,689","367,678",34.2,"per 1,000"
2411,2010,Maine,15-19 years,21.4,917,"367,678",34.2,"per 1,000"
2412,2010,Maryland,15-19 years,27.3,"5,396","367,678",34.2,"per 1,000"
2413,2010,Massachusetts,15-19 years,17.2,"3,909","367,678",34.2,"per 1,000"
2414,2010,Michigan,15-19 years,30.1,"10,835","367,678",34.2,"per 1,000"
2415,2010,Minnesota,15-19 years,22.5,"4,035","367,678",34.2,"per 1,000"
2416,2010,Mississippi,15-19 years,55.0,"6,077","367,678",34.2,"per 1,000"
2417,2010,Missouri,15-19 years,37.1,"7,669","367,678",34.2,"per 1,000"
2418,2010,Montana,15-19 years,35.0,"1,128","367,678",34.2,"per 1,000"
2419,2010,Nebraska,15-19 years,31.1,"1,958","367,678",34.2,"per 1,000"
2420,2010,Nevada,15-19 years,38.6,"3,421","367,678",34.2,"per 1,000"
2421,2010,New Hampshire,15-19 years,15.7,722,"367,678",34.2,"per 1,000"
2422,2010,New Jersey,15-19 years,20.1,"5,793","367,678",34.2,"per 1,000"
2423,2010,New Mexico,15-19 years,53.0,"3,872","367,678",34.2,"per 1,000"
2424,2010,New York,15-19 years,22.7,"15,126","367,678",34.2,"per 1,000"
2425,2010,North Carolina,15-19 years,38.3,"12,309","367,678",34.2,"per 1,000"
2426,2010,North Dakota,15-19 years,28.8,659,"367,678",34.2,"per 1,000"
2427,2010,Ohio,15-19 years,34.1,"13,752","367,678",34.2,"per 1,000"
2428,2010,Oklahoma,15-19 years,50.4,"6,496","367,678",34.2,"per 1,000"
2429,2010,Oregon,15-19 years,28.2,"3,496","367,678",34.2,"per 1,000"
2430,2010,Pennsylvania,15-19 years,27.0,"11,959","367,678",34.2,"per 1,000"
2431,2010,Rhode Island,15-19 years,22.3,891,"367,678",34.2,"per 1,000"
2432,2010,South Carolina,15-19 years,42.6,"6,849","367,678",34.2,"per 1,000"
2433,2010,South Dakota,15-19 years,34.9,975,"367,678",34.2,"per 1,000"
2434,2010,Tennessee,15-19 years,43.2,"9,254","367,678",34.2,"per 1,000"
2435,2010,Texas,15-19 years,52.2,"47,751","367,678",34.2,"per 1,000"
2436,2010,Total U.S.,15-19 years,34.2,"367,678","367,678",34.2,"per 1,000"
2437,2010,Utah,15-19 years,27.9,"3,049","367,678",34.2,"per 1,000"
2438,2010,Vermont,15-19 years,17.9,401,"367,678",34.2,"per 1,000"
2439,2010,Virginia,15-19 years,27.4,"7,374","367,678",34.2,"per 1,000"
2440,2010,Washington,15-19 years,26.7,"6,002","367,678",34.2,"per 1,000"
2441,2010,West Virginia,15-19 years,44.8,"2,608","367,678",34.2,"per 1,000"
2442,2010,Wisconsin,15-19 years,26.2,"5,100","367,678",34.2,"per 1,000"
2443,2010,Wyoming,15-19 years,39.0,723,"367,678",34.2,"per 1,000"
2444,2013,Idaho,15-19 years,25.7,"1,425","274,641",26.6,"per 1,000"
2445,2011,Alabama,15-19 years,40.5,"6,609","329,772",31.3,"per 1,000"
2446,2011,Alaska,15-19 years,36.2,880,"329,772",31.3,"per 1,000"
2447,2011,Arizona,15-19 years,38.5,"8,402","329,772",31.3,"per 1,000"
2448,2011,Arkansas,15-19 years,50.7,"4,845","329,772",31.3,"per 1,000"
2449,2011,California,15-19 years,28.7,"38,303","329,772",31.3,"per 1,000"
2450,2011,Colorado,15-19 years,28.9,"4,734","329,772",31.3,"per 1,000"
2451,2011,Connecticut,15-19 years,16.4,"2,020","329,772",31.3,"per 1,000"
2452,2011,Delaware,15-19 years,29.3,900,"329,772",31.3,"per 1,000"
2453,2011,District of Columbia,15-19 years,42.8,879,"329,772",31.3,"per 1,000"
2454,2011,Florida,15-19 years,29.5,"17,125","329,772",31.3,"per 1,000"
2455,2011,Georgia,15-19 years,38.2,"12,991","329,772",31.3,"per 1,000"
2456,2011,Hawaii,15-19 years,30.0,"1,199","329,772",31.3,"per 1,000"
2457,2011,Idaho,15-19 years,27.7,"1,584","329,772",31.3,"per 1,000"
2458,2011,Illinois,15-19 years,29.5,"13,026","329,772",31.3,"per 1,000"
2459,2011,Indiana,15-19 years,34.8,"7,917","329,772",31.3,"per 1,000"
2460,2011,Iowa,15-19 years,25.3,"2,665","329,772",31.3,"per 1,000"
2461,2011,Kansas,15-19 years,35.4,"3,493","329,772",31.3,"per 1,000"
2462,2011,Kentucky,15-19 years,43.5,"6,111","329,772",31.3,"per 1,000"
2463,2011,Louisiana,15-19 years,45.1,"6,970","329,772",31.3,"per 1,000"
2464,2011,Maine,15-19 years,20.8,867,"329,772",31.3,"per 1,000"
2465,2011,Maryland,15-19 years,24.7,"4,797","329,772",31.3,"per 1,000"
2466,2014,Vermont,15-19 years,14.2,307,"249,078",24.2,"per 1,000"
2467,2011,Massachusetts,15-19 years,15.4,"3,478","329,772",31.3,"per 1,000"
2468,2011,Michigan,15-19 years,27.8,"9,658","329,772",31.3,"per 1,000"
2469,2011,Minnesota,15-19 years,19.3,"3,464","329,772",31.3,"per 1,000"
2470,2011,Mississippi,15-19 years,50.2,"5,363","329,772",31.3,"per 1,000"
2471,2011,Missouri,15-19 years,34.5,"6,944","329,772",31.3,"per 1,000"
2472,2011,Montana,15-19 years,29.2,930,"329,772",31.3,"per 1,000"
2473,2011,Nebraska,15-19 years,27.2,"1,731","329,772",31.3,"per 1,000"
2474,2011,Nevada,15-19 years,36.1,"3,073","329,772",31.3,"per 1,000"
2475,2011,New Hampshire,15-19 years,13.7,629,"329,772",31.3,"per 1,000"
2476,2011,New Jersey,15-19 years,18.7,"5,358","329,772",31.3,"per 1,000"
2477,2011,New Mexico,15-19 years,48.8,"3,452","329,772",31.3,"per 1,000"
2478,2011,New York,15-19 years,21.2,"13,718","329,772",31.3,"per 1,000"
2479,2011,North Carolina,15-19 years,34.9,"11,070","329,772",31.3,"per 1,000"
2480,2011,North Dakota,15-19 years,28.2,647,"329,772",31.3,"per 1,000"
2481,2011,Ohio,15-19 years,31.5,"12,338","329,772",31.3,"per 1,000"
2482,2011,Oklahoma,15-19 years,47.8,"6,025","329,772",31.3,"per 1,000"
2483,2011,Oregon,15-19 years,25.8,"3,134","329,772",31.3,"per 1,000"
2484,2011,Pennsylvania,15-19 years,24.9,"10,816","329,772",31.3,"per 1,000"
2485,2011,Rhode Island,15-19 years,21.3,831,"329,772",31.3,"per 1,000"
2486,2011,South Carolina,15-19 years,39.1,"6,026","329,772",31.3,"per 1,000"
2487,2011,South Dakota,15-19 years,34.3,964,"329,772",31.3,"per 1,000"
2488,2011,Tennessee,15-19 years,40.8,"8,497","329,772",31.3,"per 1,000"
2489,2011,Texas,15-19 years,46.9,"42,748","329,772",31.3,"per 1,000"
2490,2011,Total U.S.,15-19 years,31.3,"329,772","329,772",31.3,"per 1,000"
2491,2011,Utah,15-19 years,23.1,"2,542","329,772",31.3,"per 1,000"
2492,2011,Vermont,15-19 years,16.8,375,"329,772",31.3,"per 1,000"
2493,2011,Virginia,15-19 years,24.5,"6,524","329,772",31.3,"per 1,000"
2494,2011,Washington,15-19 years,25.4,"5,530","329,772",31.3,"per 1,000"
2495,2011,West Virginia,15-19 years,43.5,"2,461","329,772",31.3,"per 1,000"
2496,2011,Wisconsin,15-19 years,23.2,"4,504","329,772",31.3,"per 1,000"
2497,2011,Wyoming,15-19 years,35.2,625,"329,772",31.3,"per 1,000"
2498,2012,Alabama,15-19 years,39.2,"6,195","305,388",29.4,"per 1,000"
2499,2012,Alaska,15-19 years,34.5,817,"305,388",29.4,"per 1,000"
2500,2012,Arizona,15-19 years,37.4,"8,119","305,388",29.4,"per 1,000"
2501,2012,Arkansas,15-19 years,45.7,"4,349","305,388",29.4,"per 1,000"
2502,2012,California,15-19 years,26.5,"34,890","305,388",29.4,"per 1,000"
2503,2012,Colorado,15-19 years,25.4,"4,154","305,388",29.4,"per 1,000"
2504,2012,Connecticut,15-19 years,15.1,"1,889","305,388",29.4,"per 1,000"
2505,2012,Delaware,15-19 years,25.0,761,"305,388",29.4,"per 1,000"
2506,2012,District of Columbia,15-19 years,38.6,791,"305,388",29.4,"per 1,000"
2507,2012,Florida,15-19 years,28.0,"15,952","305,388",29.4,"per 1,000"
2508,2012,Georgia,15-19 years,33.8,"11,488","305,388",29.4,"per 1,000"
2509,2012,Hawaii,15-19 years,28.1,"1,108","305,388",29.4,"per 1,000"
2510,2012,Idaho,15-19 years,28.3,"1,568","305,388",29.4,"per 1,000"
2511,2012,Illinois,15-19 years,27.9,"12,098","305,388",29.4,"per 1,000"
2512,2012,Indiana,15-19 years,33.0,"7,370","305,388",29.4,"per 1,000"
2513,2012,Iowa,15-19 years,24.1,"2,498","305,388",29.4,"per 1,000"
2514,2012,Kansas,15-19 years,34.1,"3,306","305,388",29.4,"per 1,000"
2515,2012,Kentucky,15-19 years,41.5,"5,689","305,388",29.4,"per 1,000"
2516,2012,Louisiana,15-19 years,43.1,"6,458","305,388",29.4,"per 1,000"
2517,2012,Maine,15-19 years,19.4,798,"305,388",29.4,"per 1,000"
2518,2012,Maryland,15-19 years,22.1,"4,286","305,388",29.4,"per 1,000"
2519,2012,Massachusetts,15-19 years,14.1,"3,220","305,388",29.4,"per 1,000"
2520,2012,Michigan,15-19 years,26.3,"8,913","305,388",29.4,"per 1,000"
2521,2012,Minnesota,15-19 years,18.5,"3,295","305,388",29.4,"per 1,000"
2522,2012,Mississippi,15-19 years,46.1,"4,781","305,388",29.4,"per 1,000"
2523,2012,Missouri,15-19 years,32.2,"6,317","305,388",29.4,"per 1,000"
2524,2012,Montana,15-19 years,28.8,892,"305,388",29.4,"per 1,000"
2525,2012,Nebraska,15-19 years,26.8,"1,671","305,388",29.4,"per 1,000"
2526,2012,Nevada,15-19 years,33.4,"2,863","305,388",29.4,"per 1,000"
2527,2012,New Hampshire,15-19 years,13.8,629,"305,388",29.4,"per 1,000"
2528,2012,New Jersey,15-19 years,16.7,"4,772","305,388",29.4,"per 1,000"
2529,2012,New Mexico,15-19 years,47.5,"3,275","305,388",29.4,"per 1,000"
2530,2012,New York,15-19 years,19.7,"12,592","305,388",29.4,"per 1,000"
2531,2012,North Carolina,15-19 years,31.8,"10,077","305,388",29.4,"per 1,000"
2532,2012,North Dakota,15-19 years,26.5,603,"305,388",29.4,"per 1,000"
2533,2012,Ohio,15-19 years,29.8,"11,437","305,388",29.4,"per 1,000"
2534,2012,Oklahoma,15-19 years,47.3,"5,844","305,388",29.4,"per 1,000"
2535,2012,Oregon,15-19 years,23.8,"2,851","305,388",29.4,"per 1,000"
2536,2012,Pennsylvania,15-19 years,23.7,"10,049","305,388",29.4,"per 1,000"
2537,2012,Rhode Island,15-19 years,19.9,760,"305,388",29.4,"per 1,000"
2538,2012,South Carolina,15-19 years,36.6,"5,537","305,388",29.4,"per 1,000"
2539,2012,South Dakota,15-19 years,33.3,929,"305,388",29.4,"per 1,000"
2540,2012,Tennessee,15-19 years,38.5,"7,910","305,388",29.4,"per 1,000"
2541,2012,Texas,15-19 years,44.4,"40,451","305,388",29.4,"per 1,000"
2542,2012,Total U.S.,15-19 years,29.4,"305,388","305,388",29.4,"per 1,000"
2543,2012,Utah,15-19 years,23.3,"2,494","305,388",29.4,"per 1,000"
2544,2012,Vermont,15-19 years,16.3,361,"305,388",29.4,"per 1,000"
2545,2012,Virginia,15-19 years,22.9,"6,076","305,388",29.4,"per 1,000"
2546,2012,Washington,15-19 years,23.4,"5,017","305,388",29.4,"per 1,000"
2547,2012,West Virginia,15-19 years,44.1,"2,407","305,388",29.4,"per 1,000"
2548,2012,Wisconsin,15-19 years,21.9,"4,159","305,388",29.4,"per 1,000"
2549,2012,Wyoming,15-19 years,34.7,622,"305,388",29.4,"per 1,000"
2550,2013,Alabama,15-19 years,34.3,"5,392","274,641",26.6,"per 1,000"
2551,2013,Alaska,15-19 years,30.3,708,"274,641",26.6,"per 1,000"
2552,2013,Arizona,15-19 years,33.1,"7,232","274,641",26.6,"per 1,000"
2553,2013,Arkansas,15-19 years,43.5,"4,155","274,641",26.6,"per 1,000"
2554,2013,California,15-19 years,23.6,"30,505","274,641",26.6,"per 1,000"
2555,2013,Colorado,15-19 years,23.4,"3,834","274,641",26.6,"per 1,000"
2556,2013,Connecticut,15-19 years,12.9,"1,606","274,641",26.6,"per 1,000"
2557,2013,Delaware,15-19 years,24.7,728,"274,641",26.6,"per 1,000"
2558,2013,District of Columbia,15-19 years,32.1,637,"274,641",26.6,"per 1,000"
2559,2013,Florida,15-19 years,24.6,"13,962","274,641",26.6,"per 1,000"
2560,2013,Georgia,15-19 years,30.5,"10,322","274,641",26.6,"per 1,000"
2561,2013,Hawaii,15-19 years,25.1,976,"274,641",26.6,"per 1,000"
2562,2013,Illinois,15-19 years,24.6,"10,525","274,641",26.6,"per 1,000"
2563,2013,Indiana,15-19 years,30.3,"6,742","274,641",26.6,"per 1,000"
2564,2013,Iowa,15-19 years,22.1,"2,289","274,641",26.6,"per 1,000"
2565,2013,Kansas,15-19 years,29.6,"2,869","274,641",26.6,"per 1,000"
2566,2013,Kentucky,15-19 years,39.5,"5,410","274,641",26.6,"per 1,000"
2567,2013,Louisiana,15-19 years,39.2,"5,811","274,641",26.6,"per 1,000"
2568,2013,Maine,15-19 years,17.4,697,"274,641",26.6,"per 1,000"
2569,2013,Maryland,15-19 years,19.4,"3,690","274,641",26.6,"per 1,000"
2570,2013,Massachusetts,15-19 years,12.1,"2,734","274,641",26.6,"per 1,000"
2571,2013,Michigan,15-19 years,23.6,"7,872","274,641",26.6,"per 1,000"
2572,2013,Minnesota,15-19 years,16.8,"2,950","274,641",26.6,"per 1,000"
2573,2013,Mississippi,15-19 years,42.6,"4,347","274,641",26.6,"per 1,000"
2574,2013,Missouri,15-19 years,30.0,"5,814","274,641",26.6,"per 1,000"
2575,2013,Montana,15-19 years,27.9,855,"274,641",26.6,"per 1,000"
2576,2013,Nebraska,15-19 years,24.9,"1,552","274,641",26.6,"per 1,000"
2577,2013,Nevada,15-19 years,30.3,"2,604","274,641",26.6,"per 1,000"
2578,2013,New Hampshire,15-19 years,12.6,560,"274,641",26.6,"per 1,000"
2579,2013,New Jersey,15-19 years,14.8,"4,188","274,641",26.6,"per 1,000"
2580,2013,New Mexico,15-19 years,43.3,"2,959","274,641",26.6,"per 1,000"
2581,2013,New York,15-19 years,17.7,"11,128","274,641",26.6,"per 1,000"
2582,2013,North Carolina,15-19 years,28.4,"9,020","274,641",26.6,"per 1,000"
2583,2013,North Dakota,15-19 years,24.1,563,"274,641",26.6,"per 1,000"
2584,2013,Ohio,15-19 years,27.2,"10,352","274,641",26.6,"per 1,000"
2585,2013,Oklahoma,15-19 years,42.9,"5,310","274,641",26.6,"per 1,000"
2586,2013,Oregon,15-19 years,21.6,"2,594","274,641",26.6,"per 1,000"
2587,2013,Pennsylvania,15-19 years,20.9,"8,657","274,641",26.6,"per 1,000"
2588,2013,Rhode Island,15-19 years,17.7,659,"274,641",26.6,"per 1,000"
2589,2013,South Carolina,15-19 years,31.6,"4,763","274,641",26.6,"per 1,000"
2590,2013,South Dakota,15-19 years,29.1,812,"274,641",26.6,"per 1,000"
2591,2013,Tennessee,15-19 years,34.7,"7,105","274,641",26.6,"per 1,000"
2592,2013,Texas,15-19 years,41.0,"37,525","274,641",26.6,"per 1,000"
2593,2013,Total U.S.,15-19 years,26.6,"274,641","274,641",26.6,"per 1,000"
2594,2013,Utah,15-19 years,20.6,"2,254","274,641",26.6,"per 1,000"
2595,2013,Vermont,15-19 years,14.5,317,"274,641",26.6,"per 1,000"
2596,2013,Virginia,15-19 years,20.1,"5,300","274,641",26.6,"per 1,000"
2597,2013,Washington,15-19 years,20.5,"4,386","274,641",26.6,"per 1,000"
2598,2013,West Virginia,15-19 years,40.1,"2,178","274,641",26.6,"per 1,000"
2599,2013,Wisconsin,15-19 years,19.6,"3,692","274,641",26.6,"per 1,000"
2600,2013,Wyoming,15-19 years,29.6,540,"274,641",26.6,"per 1,000"
2601,2014,Alabama,15-19 years,32.0,"5,009","249,078",24.2,"per 1,000"
2602,2014,Alaska,15-19 years,27.8,645,"249,078",24.2,"per 1,000"
2603,2014,Arizona,15-19 years,29.9,"6,622","249,078",24.2,"per 1,000"
2604,2014,Arkansas,15-19 years,39.5,"3,782","249,078",24.2,"per 1,000"
2605,2014,California,15-19 years,21.1,"27,025","249,078",24.2,"per 1,000"
2606,2014,Colorado,15-19 years,20.3,"3,377","249,078",24.2,"per 1,000"
2607,2014,Connecticut,15-19 years,11.5,"1,420","249,078",24.2,"per 1,000"
2608,2014,Delaware,15-19 years,20.7,616,"249,078",24.2,"per 1,000"
2609,2014,District of Columbia,15-19 years,28.4,565,"249,078",24.2,"per 1,000"
2610,2014,Florida,15-19 years,22.5,"12,816","249,078",24.2,"per 1,000"
2611,2014,Georgia,15-19 years,28.4,"9,661","249,078",24.2,"per 1,000"
2612,2014,Hawaii,15-19 years,23.1,893,"249,078",24.2,"per 1,000"
2613,2014,Idaho,15-19 years,23.2,"1,303","249,078",24.2,"per 1,000"
2614,2014,Illinois,15-19 years,22.8,"9,591","249,078",24.2,"per 1,000"
2615,2014,Indiana,15-19 years,28.0,"6,223","249,078",24.2,"per 1,000"
2616,2014,Iowa,15-19 years,19.8,"2,048","249,078",24.2,"per 1,000"
2617,2014,Kansas,15-19 years,27.6,"2,674","249,078",24.2,"per 1,000"
2618,2014,Kentucky,15-19 years,35.3,"4,877","249,078",24.2,"per 1,000"
2619,2014,Louisiana,15-19 years,35.8,"5,270","249,078",24.2,"per 1,000"
2620,2014,Maine,15-19 years,16.5,655,"249,078",24.2,"per 1,000"
