,State,Year,Total Federal Revenue,Total State Revenue,Employed per 1k,% Employed,Teacher Pay,Pop. Below Poverty Level,Percent of Pop. Below Poverty Level,Grdn Bachelor Degree+,Grdn HS Diploma or GED,Grdn No HS Diploma,Grdn Some College,Student/Teacher Ratio,Teen Preg. Rate (State),Dropouts,Food Insecurity Rate,Child food insecurity rate
1,Alabama,2010,1134111.0,3800128.0,51.0,21.7,48282.0,310590.0,27.7,698.0,1319.0,772.0,945.0,15.31,43.6,21000.0,0.19292537313432837,0.2600746268656716
2,Alabama,2011,1077070.0,3965614.0,65.0,24.9,48003.0,306973.0,27.6,772.0,1218.0,790.0,1004.0,15.6,40.5,17000.0,0.1885223880597015,0.25376119402985076
3,Alabama,2012,789954.0,3948651.0,66.0,23.7,47949.0,305610.0,27.5,831.0,1235.0,763.0,1023.0,14.35,39.2,16000.0,0.18089552238805978,0.2529701492537314
4,Alabama,2013,811739.0,3898347.0,52.0,21.7,48413.0,297591.0,27.2,924.0,1278.0,772.0,936.0,15.82,34.3,13000.0,0.1824328358208955,0.26195522388059705
5,Alabama,2014,794090.0,4031547.0,44.0,18.1,49497.0,302736.0,27.7,845.0,1136.0,748.0,1111.0,17.41,32.0,14000.0,0.18952238805970156,0.2705223880597014
6,Alabama,2015,795238.0,4080167.0,70.0,25.3,49781.0,290825.0,26.6,864.0,1226.0,759.0,1010.0,18.25,30.1,11000.0,0.1849253731343283,0.25544776119402995
7,Alabama,2016,803907.0,4148764.0,65.0,26.6,48868.0,265901.0,24.5,845.0,1247.0,760.0,1073.0,17.51,28.4,10000.0,0.18092537313432838,0.24979104477611935
8,Alabama,2017,811407.0,4350594.0,63.0,24.1,50239.0,265078.0,24.6,904.0,1266.0,681.0,1075.0,17.76,27.0,13000.0,0.17155223880597015,0.23420895522388066
10,Alaska,2010,366970.0,1356673.0,14.0,34.7,61093.0,23773.0,12.9,120.0,156.0,88.0,172.0,16.17,38.3,3000.0,0.15289655172413794,0.21257692307692302
11,Alaska,2011,420152.0,1416163.0,14.0,31.9,62425.0,26941.0,14.5,130.0,150.0,87.0,174.0,16.22,36.2,3000.0,0.15855172413793106,0.2182068965517241
12,Alaska,2012,352005.0,1507913.0,13.0,30.0,65468.0,25700.0,13.9,135.0,159.0,88.0,175.0,17.12,34.5,2000.0,0.1564137931034483,0.21868965517241387
13,Alaska,2013,320938.0,1707449.0,15.0,34.7,66739.0,22377.0,12.1,138.0,155.0,85.0,172.0,16.58,30.3,2000.0,0.15927586206896552,0.22534482758620683
14,Alaska,2014,309525.0,1824373.0,13.0,32.8,66755.0,28851.0,15.8,145.0,158.0,71.0,167.0,16.91,27.8,2000.0,0.16444827586206898,0.23158620689655174
15,Alaska,2015,344111.0,2026555.0,13.0,33.3,67443.0,27849.0,15.2,138.0,161.0,72.0,168.0,16.91,29.3,2000.0,0.15872413793103451,0.21793103448275863
16,Alaska,2016,307320.0,1613675.0,11.0,28.2,68138.0,25938.0,14.1,156.0,164.0,69.0,162.0,16.96,25.8,1000.0,0.15244827586206894,0.20810344827586205
