State,Year,Total Federal Revenue
Alabama,2009,728795
Alabama,2010,1134111
Alabama,2011,1077070
Alabama,2012,789954
Alabama,2013,811739
Alabama,2014,794090
Alabama,2015,795238
Alabama,2016,803907
Alabama,2017,811407
Alaska,2009,312667
Alaska,2010,366970
Alaska,2011,420152
Alaska,2012,352005
Alaska,2013,320938
Alaska,2014,309525
Alaska,2015,344111
Alaska,2016,307320
Alaska,2017,350204
Arizona,2009,534510
Arizona,2010,787738
Arizona,2011,827026
Arizona,2012,666267
Arizona,2013,572096
Arizona,2014,552738
Arizona,2015,581412
Arizona,2016,593656
Arizona,2017,597260
Arkansas,2009,9745250
Arkansas,2010,9715980
Arkansas,2011,9990221
Arkansas,2012,8793325
Arkansas,2013,7836263
Arkansas,2014,7415061
Arkansas,2015,7556365
Arkansas,2016,7709079
Arkansas,2017,7889546
California,2009,560538
California,2010,714230
California,2011,969288
California,2012,705634
California,2013,696266
California,2014,681230
California,2015,715254
California,2016,713914
California,2017,697569
Colorado,2009,109682
Colorado,2010,180584
Colorado,2011,192182
Colorado,2012,183793
Colorado,2013,151096
Colorado,2014,133055
Colorado,2015,137544
Colorado,2016,134412
Colorado,2017,138436
Connecticut,2009,75856
Connecticut,2010,80585
Connecticut,2011,155505
Connecticut,2012,137742
Connecticut,2013,129874
Connecticut,2014,134959
Connecticut,2015,146366
Connecticut,2016,154922
Connecticut,2017,167840
Delaware,2009,2694566
Delaware,2010,4200103
Delaware,2011,4710376
Delaware,2012,3068321
Delaware,2013,3027018
Delaware,2014,3112027
Delaware,2015,3118041
Delaware,2016,3147329
Delaware,2017,3202127
District of Columbia,2009,1644548
District of Columbia,2010,2598486
District of Columbia,2011,2267161
District of Columbia,2012,1862297
District of Columbia,2013,1805878
District of Columbia,2014,1804212
District of Columbia,2015,1831221
District of Columbia,2016,1807371
District of Columbia,2017,1846441
Florida,2009,392837
Florida,2010,382400
Florida,2011,347363
Florida,2012,318728
Florida,2013,310778
Florida,2014,286988
Florida,2015,259390
Florida,2016,261131
Florida,2017,252145
Georgia,2009,218777
Georgia,2010,444112
Georgia,2011,292602
Georgia,2012,266087
Georgia,2013,237912
Georgia,2014,232593
Georgia,2015,232449
Georgia,2016,240322
Georgia,2017,235740
Hawaii,2009,1403839
Hawaii,2010,1477561
Hawaii,2011,1024389
Hawaii,2012,1096902
Hawaii,2013,980013
Hawaii,2014,933891
Hawaii,2015,929878
Hawaii,2016,954837
Hawaii,2017,932489
Idaho,2009,431142
Idaho,2010,728361
Idaho,2011,596688
Idaho,2012,512246
Idaho,2013,459132
Idaho,2014,455586
Idaho,2015,458457
Idaho,2016,464852
Idaho,2017,478167
Illinois,2009,378810
Illinois,2010,673692
Illinois,2011,612100
Illinois,2012,410051
Illinois,2013,420820
Illinois,2014,419415
Illinois,2015,475273
Illinois,2016,453922
Illinois,2017,537064
Indiana,2009,719997
Indiana,2010,1059915
Indiana,2011,1164688
Indiana,2012,983232
Indiana,2013,867735
Indiana,2014,825742
Indiana,2015,848963
Indiana,2016,880296
Indiana,2017,911061
Iowa,2009,1238259
Iowa,2010,1549575
Iowa,2011,1497262
Iowa,2012,1527734
Iowa,2013,1229248
Iowa,2014,1272004
Iowa,2015,1235580
Iowa,2016,1021465
Iowa,2017,1045678
Kansas,2009,245063
Kansas,2010,320917
Kansas,2011,289290
Kansas,2012,239982
Kansas,2013,196466
Kansas,2014,182961
Kansas,2015,183883
Kansas,2016,185803
Kansas,2017,184381
Kentucky,2009,694846
Kentucky,2010,1004498
Kentucky,2011,1255964
Kentucky,2012,859635
Kentucky,2013,828432
Kentucky,2014,816033
Kentucky,2015,819162
Kentucky,2016,823599
Kentucky,2017,851865
Louisiana,2009,1181681
Louisiana,2010,1092892
Louisiana,2011,1197383
Louisiana,2012,979175
Louisiana,2013,818054
Louisiana,2014,791029
Louisiana,2015,778939
Louisiana,2016,765043
Louisiana,2017,862648
Maine,2009,2094714
Maine,2010,2383817
Maine,2011,2525528
Maine,2012,1866406
Maine,2013,1636324
Maine,2014,1563397
Maine,2015,1582706
Maine,2016,1552824
Maine,2017,1521781
Maryland,2009,575703
Maryland,2010,1245368
Maryland,2011,842906
Maryland,2012,740098
Maryland,2013,646542
Maryland,2014,630445
Maryland,2015,629909
Maryland,2016,634332
Maryland,2017,653076
Massachusetts,2009,675576
Massachusetts,2010,945973
Massachusetts,2011,1006465
Massachusetts,2012,795110
Massachusetts,2013,707522
Massachusetts,2014,664697
Massachusetts,2015,672366
Massachusetts,2016,690724
Massachusetts,2017,671484
Michigan,2009,758650
Michigan,2010,1430854
Michigan,2011,1344755
Michigan,2012,994192
Michigan,2013,894168
Michigan,2014,895743
Michigan,2015,948600
Michigan,2016,924655
Michigan,2017,925895
Minnesota,2009,195705
Minnesota,2010,256049
Minnesota,2011,264517
Minnesota,2012,214164
Minnesota,2013,210593
Minnesota,2014,201528
Minnesota,2015,214980
Minnesota,2016,220340
Minnesota,2017,220212
Mississippi,2009,297732
Mississippi,2010,465728
Mississippi,2011,571969
Mississippi,2012,366016
Mississippi,2013,366241
Mississippi,2014,318179
Mississippi,2015,344382
Mississippi,2016,346826
Mississippi,2017,341328
Missouri,2009,425133
Missouri,2010,358496
Missouri,2011,447002
Missouri,2012,403548
Missouri,2013,392009
Missouri,2014,381596
Missouri,2015,395630
Missouri,2016,401323
Missouri,2017,426468
Montana,2009,146867
Montana,2010,185175
Montana,2011,184768
Montana,2012,187243
Montana,2013,163890
Montana,2014,161989
Montana,2015,164905
Montana,2016,169166
Montana,2017,168674
Nebraska,2009,1014556
Nebraska,2010,2386865
Nebraska,2011,1283994
Nebraska,2012,1371038
Nebraska,2013,1145079
Nebraska,2014,1142878
Nebraska,2015,1154004
Nebraska,2016,1183917
Nebraska,2017,1205301
Nevada,2009,519973
Nevada,2010,753816
Nevada,2011,636436
Nevada,2012,491732
Nevada,2013,519318
Nevada,2014,466320
Nevada,2015,499789
Nevada,2016,506995
Nevada,2017,540695
New Hampshire,2009,3197833
New Hampshire,2010,3694050
New Hampshire,2011,5118477
New Hampshire,2012,3769627
New Hampshire,2013,3335657
New Hampshire,2014,3347393
New Hampshire,2015,2869847
New Hampshire,2016,3369803
New Hampshire,2017,3682960
New Jersey,2009,1377661
New Jersey,2010,1927843
New Jersey,2011,2046954
New Jersey,2012,1831015
New Jersey,2013,1579889
New Jersey,2014,1529624
New Jersey,2015,1589570
New Jersey,2016,1557900
New Jersey,2017,1562965
New Mexico,2009,160294
New Mexico,2010,277985
New Mexico,2011,186844
New Mexico,2012,160050
New Mexico,2013,145905
New Mexico,2014,155894
New Mexico,2015,158373
New Mexico,2016,155453
New Mexico,2017,163451
New York,2009,1531263
New York,2010,2310440
New York,2011,2533882
New York,2012,2007733
New York,2013,1721213
New York,2014,1692769
New York,2015,1676820
New York,2016,1680983
New York,2017,1678166
North Carolina,2009,768972
North Carolina,2010,768319
North Carolina,2011,968529
North Carolina,2012,773014
North Carolina,2013,715944
North Carolina,2014,690122
North Carolina,2015,688990
North Carolina,2016,689756
North Carolina,2017,686087
North Dakota,2009,656298
North Dakota,2010,813110
North Dakota,2011,848637
North Dakota,2012,550894
North Dakota,2013,471682
North Dakota,2014,521463
North Dakota,2015,577106
North Dakota,2016,582560
North Dakota,2017,558120
Ohio,2009,1811141
Ohio,2010,2977089
Ohio,2011,3371827
Ohio,2012,2145208
Ohio,2013,2049113
