,State,Food Insecurity Rate,Child food insecurity rate,Year
0,Alaska,0.151,0.248,2009
1,Alaska,0.136,0.178,2009
2,Alaska,0.11900000000000001,0.186,2009
3,Alaska,0.21100000000000002,0.314,2009
4,Alaska,0.095,0.166,2009
5,Alaska,0.133,0.2,2009
6,Alaska,0.17600000000000002,0.281,2009
7,Alaska,0.126,0.188,2009
8,Alaska,0.13699999999999998,0.207,2009
9,Alaska,0.107,0.183,2009
10,Alaska,0.153,0.232,2009
11,Alaska,0.129,0.206,2009
12,Alaska,0.131,0.216,2009
13,Alaska,0.177,0.263,2009
14,Alaska,0.146,0.224,2009
15,Alaska,0.21100000000000002,0.312,2009
16,Alaska,0.122,0.202,2009
17,Alaska,0.198,0.288,2009
18,Alaska,0.11699999999999999,0.175,2009
19,Alaska,0.158,0.234,2009
20,Alaska,0.139,0.213,2009
21,Alaska,0.304,0.436,2009
22,Alaska,0.142,0.214,2009
23,Alaska,0.24100000000000002,0.364,2009
24,Alabama,0.14300000000000002,0.232,2009
25,Alabama,0.142,0.269,2009
26,Alabama,0.23600000000000002,0.293,2009
27,Alabama,0.17800000000000002,0.27,2009
28,Alabama,0.13699999999999998,0.275,2009
29,Alabama,0.287,0.328,2009
30,Alabama,0.244,0.297,2009
31,Alabama,0.17600000000000002,0.282,2009
32,Alabama,0.249,0.315,2009
33,Alabama,0.16399999999999998,0.305,2009
34,Alabama,0.165,0.295,2009
35,Alabama,0.226,0.284,2009
36,Alabama,0.258,0.318,2009
37,Alabama,0.215,0.332,2009
38,Alabama,0.16,0.283,2009
39,Alabama,0.152,0.267,2009
40,Alabama,0.16899999999999998,0.276,2009
41,Alabama,0.29100000000000004,0.375,2009
42,Alabama,0.22899999999999998,0.308,2009
43,Alabama,0.174,0.308,2009
44,Alabama,0.188,0.299,2009
45,Alabama,0.157,0.306,2009
46,Alabama,0.156,0.246,2009
47,Alabama,0.324,0.354,2009
48,Alabama,0.19699999999999998,0.37,2009
49,Alabama,0.151,0.244,2009
50,Alabama,0.218,0.323,2009
51,Alabama,0.174,0.291,2009
52,Alabama,0.191,0.309,2009
53,Alabama,0.18600000000000003,0.333,2009
54,Alabama,0.16699999999999998,0.282,2009
55,Alabama,0.281,0.261,2009
56,Alabama,0.247,0.271,2009
57,Alabama,0.179,0.251,2009
58,Alabama,0.163,0.25,2009
59,Alabama,0.18100000000000002,0.327,2009
60,Alabama,0.179,0.227,2009
61,Alabama,0.21,0.324,2009
62,Alabama,0.17,0.307,2009
63,Alabama,0.17600000000000002,0.295,2009
64,Alabama,0.17300000000000001,0.234,2009
65,Alabama,0.14800000000000002,0.263,2009
66,Alabama,0.292,0.301,2009
67,Alabama,0.256,0.222,2009
68,Alabama,0.135,0.214,2009
69,Alabama,0.248,0.283,2009
70,Alabama,0.212,0.384,2009
71,Alabama,0.16399999999999998,0.342,2009
72,Alabama,0.191,0.268,2009
73,Alabama,0.275,0.352,2009
74,Alabama,0.193,0.217,2009
75,Alabama,0.162,0.295,2009
76,Alabama,0.29100000000000004,0.283,2009
77,Alabama,0.23800000000000002,0.3,2009
78,Alabama,0.209,0.284,2009
79,Alabama,0.213,0.312,2009
80,Alabama,0.21100000000000002,0.284,2009
81,Alabama,0.15,0.271,2009
82,Alabama,0.109,0.213,2009
83,Alabama,0.303,0.349,2009
84,Alabama,0.213,0.299,2009
85,Alabama,0.19899999999999998,0.295,2009
86,Alabama,0.183,0.237,2009
87,Alabama,0.171,0.313,2009
88,Alabama,0.21899999999999997,0.309,2009
89,Alabama,0.376,0.4,2009
90,Alabama,0.23,0.422,2009
91,Arkansas,0.245,0.31,2009
92,Arkansas,0.214,0.294,2009
93,Arkansas,0.174,0.338,2009
94,Arkansas,0.136,0.272,2009
95,Arkansas,0.163,0.297,2009
96,Arkansas,0.248,0.338,2009
97,Arkansas,0.183,0.238,2009
98,Arkansas,0.157,0.308,2009
99,Arkansas,0.285,0.335,2009
100,Arkansas,0.20800000000000002,0.287,2009
101,Arkansas,0.203,0.358,2009
102,Arkansas,0.163,0.308,2009
103,Arkansas,0.17800000000000002,0.296,2009
104,Arkansas,0.212,0.261,2009
105,Arkansas,0.17300000000000001,0.266,2009
106,Arkansas,0.16899999999999998,0.283,2009
107,Arkansas,0.17300000000000001,0.332,2009
108,Arkansas,0.245,0.29,2009
109,Arkansas,0.185,0.239,2009
110,Arkansas,0.223,0.271,2009
111,Arkansas,0.261,0.324,2009
112,Arkansas,0.22699999999999998,0.33,2009
113,Arkansas,0.162,0.253,2009
114,Arkansas,0.172,0.33,2009
115,Arkansas,0.174,0.321,2009
116,Arkansas,0.168,0.291,2009
117,Arkansas,0.141,0.257,2009
118,Arkansas,0.18600000000000003,0.333,2009
119,Arkansas,0.203,0.301,2009
120,Arkansas,0.17300000000000001,0.274,2009
121,Arkansas,0.19399999999999998,0.308,2009
122,Arkansas,0.179,0.327,2009
123,Arkansas,0.18899999999999997,0.343,2009
124,Arkansas,0.23800000000000002,0.38,2009
125,Arkansas,0.22899999999999998,0.252,2009
126,Arkansas,0.172,0.333,2009
127,Arkansas,0.218,0.27,2009
128,Arkansas,0.19899999999999998,0.373,2009
129,Arkansas,0.253,0.289,2009
130,Arkansas,0.22399999999999998,0.316,2009
131,Arkansas,0.171,0.252,2009
132,Arkansas,0.179,0.322,2009
133,Arkansas,0.14400000000000002,0.258,2009
134,Arkansas,0.159,0.297,2009
135,Arkansas,0.20199999999999999,0.366,2009
136,Arkansas,0.168,0.257,2009
137,Arkansas,0.257,0.348,2009
138,Arkansas,0.213,0.249,2009
139,Arkansas,0.162,0.329,2009
140,Arkansas,0.207,0.267,2009
141,Arkansas,0.18600000000000003,0.323,2009
142,Arkansas,0.205,0.245,2009
143,Arkansas,0.158,0.275,2009
144,Arkansas,0.27,0.289,2009
145,Arkansas,0.171,0.307,2009
146,Arkansas,0.2,0.35,2009
147,Arkansas,0.172,0.335,2009
148,Arkansas,0.16899999999999998,0.303,2009
149,Arkansas,0.183,0.274,2009
150,Arkansas,0.17300000000000001,0.227,2009
151,Arkansas,0.187,0.308,2009
152,Arkansas,0.257,0.3,2009
153,Arkansas,0.139,0.254,2009
154,Arkansas,0.184,0.366,2009
155,Arkansas,0.177,0.331,2009
156,Arkansas,0.16699999999999998,0.313,2009
157,Arkansas,0.157,0.316,2009
158,Arkansas,0.19,0.348,2009
159,Arkansas,0.2,0.368,2009
160,Arkansas,0.21600000000000003,0.283,2009
161,Arkansas,0.193,0.362,2009
162,Arkansas,0.151,0.289,2009
163,Arkansas,0.171,0.304,2009
164,Arkansas,0.23800000000000002,0.315,2009
165,Arkansas,0.168,0.321,2009
166,Arizona,0.285,0.426,2009
167,Arizona,0.166,0.281,2009
168,Arizona,0.17300000000000001,0.269,2009
169,Arizona,0.2,0.323,2009
170,Arizona,0.225,0.35,2009
171,Arizona,0.23399999999999999,0.372,2009
