,STATE,Year of Data,Total Revenue from Federal Sources
0,1,15,7574
1,1,15,23602
2,1,15,2518
3,1,15,3374
4,1,15,3586
5,1,15,6899
6,1,15,982
7,1,15,5084
8,1,15,6791
9,1,15,4277
10,1,15,8527
11,1,15,1430
12,1,15,1466
13,1,15,3708
14,1,15,4977
15,1,15,1691
16,1,15,4180
17,1,15,7912
18,1,15,2511
19,1,15,4500
20,1,15,1363
21,1,15,1986
22,1,15,2486
23,1,15,2672
24,1,15,1037
25,1,15,7219
26,1,15,3158
27,1,15,2032
28,1,15,1282
29,1,15,1547
30,1,15,2798
31,1,15,1449
32,1,15,2137
33,1,15,3474
34,1,15,1645
35,1,15,2690
36,1,15,2877
37,1,15,8755
38,1,15,2619
39,1,15,2961
40,1,15,1794
41,1,15,7630
42,1,15,7178
43,1,15,10785
44,1,15,3474
45,1,15,8642
46,1,15,1604
47,1,15,1018
48,1,15,5301
49,1,15,1967
50,1,15,7451
51,1,15,8740
52,1,15,2646
53,1,15,4011
54,1,15,3234
55,1,15,3395
56,1,15,1272
57,1,15,2303
58,1,15,3524
59,1,15,2813
60,1,15,12596
61,1,15,6102
62,1,15,7328
63,1,15,2089
64,1,15,7966
65,1,15,42313
66,1,15,2894
67,1,15,31503
68,1,15,2264
69,1,15,1542
70,1,15,944
71,1,15,6249
72,1,15,861
73,1,15,2107
74,1,15,2786
75,1,15,1788
76,1,15,2551
77,1,15,4961
78,1,15,6177
79,1,15,5145
80,1,15,7153
81,1,15,4737
82,1,15,4193
83,1,15,3007
84,1,15,8052
85,1,15,8021
86,1,15,5034
87,1,15,24912
88,1,15,12171
89,1,15,4823
90,1,15,2151
91,1,15,1449
92,1,15,754
93,1,15,8097
94,1,15,1251
95,1,15,7150
96,1,15,2307
97,1,15,6299
98,1,15,1489
99,1,15,1644
100,1,15,77933
101,1,15,2014
102,1,15,1478
103,1,15,1159
104,1,15,4635
105,1,15,38737
106,1,15,8846
107,1,15,6116
108,1,15,1619
109,1,15,3647
110,1,15,3680
111,1,15,3601
112,1,15,2204
113,1,15,2310
114,1,15,1645
115,1,15,6960
116,1,15,4122
117,1,15,7199
118,1,15,4188
119,1,15,11917
120,1,15,3486
121,1,15,2516
122,1,15,2898
123,1,15,8172
124,1,15,3260
125,1,15,3227
126,1,15,22968
127,1,15,14891
128,1,15,2320
129,1,15,9961
130,1,15,3730
131,1,15,3778
132,1,15,2866
133,1,15,1737
134,2,15,2116
135,2,15,124
136,2,15,3161
137,2,15,6162
138,2,15,2401
139,2,15,894
140,2,15,26572
141,2,15,609
142,2,15,43063
143,2,15,1418
144,2,15,2216
145,2,15,1039
146,2,15,23683
147,2,15,4995
148,2,15,983
149,2,15,1729
150,2,15,3329
151,2,15,6989
152,2,15,1096
153,2,15,277
154,2,15,33536
155,2,15,427
156,2,15,8624
157,2,15,3202
158,2,15,17441
159,2,15,5676
160,2,15,18106
161,2,15,11364
162,2,15,550
163,2,15,2468
164,2,15,2968
165,2,15,237
166,2,15,249
167,2,15,41
168,2,15,296
169,2,15,83074
170,2,15,1865
171,2,15,4514
172,2,15,1504
173,2,15,1766
174,2,15,557
175,2,15,1190
176,2,15,2783
177,2,15,949
178,2,15,44
179,2,15,519
180,2,15,550
181,2,15,1629
182,2,15,954
183,2,15,1503
184,2,15,1127
185,2,15,125
186,2,15,1417
187,3,15,7256
