Year,State,Educational Attainment,Totals
2018,Total US,Totals,323156.0
2018,Total US,Educational Attainment,
2018,Total US,Children under 15,60894.0
2018,Total US,No high school diploma,39628.0
2018,Total US,High school or equivalent,71646.0
2018,Total US,"Some college, less than 4-yr degree",70476.0
2018,Total US,Bachelor's degree or higher,80422.0
2018,AL,Totals,4819.0
2018,AL,Educational Attainment,
2018,AL,Children under 15,893.0
2018,AL,No high school diploma,662.0
2018,AL,High school or equivalent,1216.0
2018,AL,"Some college, less than 4-yr degree",1094.0
2018,AL,Bachelor's degree or higher,953.0
2018,AK,Totals,719.0
2018,AK,Educational Attainment,
2018,AK,Children under 15,153.0
2018,AK,No high school diploma,69.0
2018,AK,High school or equivalent,183.0
2018,AK,"Some college, less than 4-yr degree",177.0
2018,AK,Bachelor's degree or higher,137.0
2018,AZ,Totals,7003.0
2018,AZ,Educational Attainment,
2018,AZ,Children under 15,1356.0
2018,AZ,No high school diploma,1095.0
2018,AZ,High school or equivalent,1243.0
2018,AZ,"Some college, less than 4-yr degree",1643.0
2018,AZ,Bachelor's degree or higher,1665.0
2018,AR,Totals,2933.0
2018,AR,Educational Attainment,
2018,AR,Children under 15,575.0
2018,AR,No high school diploma,458.0
2018,AR,High school or equivalent,731.0
2018,AR,"Some college, less than 4-yr degree",638.0
2018,AR,Bachelor's degree or higher,532.0
2018,CA,Totals,39315.0
2018,CA,Educational Attainment,
2018,CA,Children under 15,7494.0
2018,CA,No high school diploma,5750.0
2018,CA,High school or equivalent,7105.0
2018,CA,"Some college, less than 4-yr degree",8819.0
2018,CA,Bachelor's degree or higher,10147.0
2018,CO,Totals,5538.0
2018,CO,Educational Attainment,
2018,CO,Children under 15,1027.0
2018,CO,No high school diploma,565.0
2018,CO,High school or equivalent,927.0
2018,CO,"Some college, less than 4-yr degree",1170.0
2018,CO,Bachelor's degree or higher,1850.0
2018,CT,Totals,3558.0
2018,CT,Educational Attainment,
2018,CT,Children under 15,603.0
2018,CT,No high school diploma,395.0
2018,CT,High school or equivalent,758.0
2018,CT,"Some college, less than 4-yr degree",647.0
2018,CT,Bachelor's degree or higher,1156.0
2018,DE,Totals,970.0
2018,DE,Educational Attainment,
2018,DE,Children under 15,169.0
2018,DE,No high school diploma,118.0
2018,DE,High school or equivalent,251.0
2018,DE,"Some college, less than 4-yr degree",203.0
2018,DE,Bachelor's degree or higher,229.0
2018,DC,Totals,692.0
2018,DC,Educational Attainment,
2018,DC,Children under 15,112.0
2018,DC,No high school diploma,62.0
2018,DC,High school or equivalent,95.0
2018,DC,"Some college, less than 4-yr degree",81.0
2018,DC,Bachelor's degree or higher,342.0
2018,FL,Totals,20937.0
2018,FL,Educational Attainment,
2018,FL,Children under 15,3484.0
2018,FL,No high school diploma,2279.0
2018,FL,High school or equivalent,5319.0
2018,FL,"Some college, less than 4-yr degree",4732.0
2018,FL,Bachelor's degree or higher,5123.0
2018,GA,Totals,10267.0
2018,GA,Educational Attainment,
2018,GA,Children under 15,2091.0
2018,GA,No high school diploma,1335.0
2018,GA,High school or equivalent,2410.0
2018,GA,"Some college, less than 4-yr degree",2020.0
2018,GA,Bachelor's degree or higher,2410.0
2018,HI,Totals,1406.0
2018,HI,Educational Attainment,
2018,HI,Children under 15,260.0
2018,HI,No high school diploma,107.0
2018,HI,High school or equivalent,331.0
2018,HI,"Some college, less than 4-yr degree",319.0
2018,HI,Bachelor's degree or higher,390.0
2018,ID,Totals,1733.0
2018,ID,Educational Attainment,
2018,ID,Children under 15,370.0
2018,ID,No high school diploma,190.0
2018,ID,High school or equivalent,397.0
2018,ID,"Some college, less than 4-yr degree",429.0
2018,ID,Bachelor's degree or higher,348.0
2018,IL,Totals,12624.0
2018,IL,Educational Attainment,
2018,IL,Children under 15,2318.0
2018,IL,No high school diploma,1445.0
2018,IL,High school or equivalent,2690.0
2018,IL,"Some college, less than 4-yr degree",2727.0
2018,IL,Bachelor's degree or higher,3443.0
2018,IN,Totals,6550.0
2018,IN,Educational Attainment,
