State,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
   United States .............,"$53,910","$55,350","$56,069","$56,643","$56,383","$56,689","$57,379","$58,064","$58,950","$60,483","$61,730"
Alabama ....................,"48,906","47,156","48,282","48,003","47,949","48,413","49,497","49,781","48,868","50,239","50,810"
Alaska ..................,"58,916","59,729","61,093","62,425","65,468","66,739","66,755","67,443","68,138","69,474","70,277"
Arizona .....................,"47,937","46,952","47,553","48,691","49,885","51,109","45,406","45,477","47,403","47,746","49,892"
Arkansas ..................,"47,472","49,051","47,700","46,959","46,632","46,950","48,017","48,220","48,616","49,017","51,019"
California .................,"66,986","70,458","69,434","69,496","69,324","70,126","72,535","72,842","78,711","81,126","82,282"
,,,,,,,,,,,
Colorado ....................,"48,707","49,505","49,938","50,407","49,844","50,651","49,828","50,039","46,506","52,389","53,301"
Connecticut ...............,"63,976","64,350","65,571","70,821","69,766","70,584","71,709","72,013","72,561","73,113","76,465"
Delaware ..................,"55,994","57,080","57,934","58,800","59,679","60,571","59,195","59,085","60,214","60,484","62,308"
District of ,,,,,,,,,,,
   Columbia ..........,"62,557","64,548","66,601","68,720","70,906","73,162","75,490","75,810","76,131","76,486","78,477"
Florida ..................,"48,126","46,912","46,702","46,232","46,944","46,691","48,992","49,199","49,407","47,721","48,395"
,,,,,,,,,,,
Georgia .................,"53,270","54,274","53,906","52,938","52,880","52,924","53,382","54,190","54,602","56,329","57,137"
Hawaii .....................,"55,733","58,168","55,063","54,268","54,300","56,291","57,189","57,431","57,674","57,866","59,757"
Idaho ........................,"45,439","46,283","47,416","48,551","49,734","50,945","45,218","45,409","47,504","49,225","50,757"
Illinois .................,"62,787","62,077","63,005","66,053","59,113","60,124","61,083","61,342","61,602","65,776","66,600"
Indiana ....................,"49,198","49,986","50,407","51,629","51,456","50,644","50,502","50,715","50,554","54,846","50,937"
,,,,,,,,,,,
Iowa ........................,"48,969","50,547","50,634","51,037","51,528","51,662","52,862","54,416","55,443","56,790","58,140"
