"States:  Employment status of the civilian noninstitutional population by sex, race, Hispanic or Latino ethnicity, marital status, and detailed age, 2013 annual averages",,,,,,,,,,,,,
,,,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,,
State FIPS Code,Group Code,State,Group,Civilian non-institutional population,Civilian labor force,,,,,,,,
,,,,,Number,Percent of population,Employment,,Unemployment,,,,
,,,,,,,Number,Percent of population,Number,Rate,Error range,,
,,,,,,,,,,,of rate 1,,
,,,,,,,,,,,,,
01,01,Alabama,Total,"3,767    ","2,185    ",58.0    ,"2,034    ",54.0    ,151    ,6.9    ,6.1  ,–,7.7  
01,02,Alabama,Men,"1,787    ","1,136    ",63.6    ,"1,057    ",59.2    ,79    ,7.0    ,5.9  ,–,8.1  
01,03,Alabama,Women,"1,981    ","1,048    ",52.9    ,977    ,49.3    ,71    ,6.8    ,5.7  ,–,7.9  
01,04,Alabama,White,"2,717    ","1,628    ",59.9    ,"1,543    ",56.8    ,86    ,5.3    ,4.5  ,–,6.1  
01,05,Alabama,"White, men","1,315    ",888    ,67.5    ,840    ,63.9    ,48    ,5.4    ,4.3  ,–,6.5  
01,06,Alabama,"White, women","1,401    ",740    ,52.8    ,702    ,50.1    ,38    ,5.1    ,4.0  ,–,6.2  
01,07,Alabama,Black or African American,945    ,492    ,52.0    ,432    ,45.7    ,60    ,12.1    ,9.6  ,–,14.6  
01,08,Alabama,"Black or African American, men",418    ,211    ,50.6    ,182    ,43.5    ,30    ,14.0    ,9.9  ,–,18.1  
01,09,Alabama,"Black or African American, women",528    ,280    ,53.1    ,250    ,47.4    ,30    ,10.7    ,7.6  ,–,13.8  
01,13,Alabama,Hispanic or Latino ethnicity,125    ,84    ,67.4    ,79    ,63.4    ,5    ,6.0    ,2.5  ,–,9.5  
01,14,Alabama,"Hispanic or Latino ethnicity, men",71    ,58    ,81.1    ,57    ,79.3    ,1    ,2.3    ,( 2 ),–,( 2 )
01,16,Alabama,"Married men, spouse present",975    ,667    ,68.5    ,645    ,66.1    ,23    ,3.4    ,2.4  ,–,4.4  
01,17,Alabama,"Married women, spouse present",981    ,548    ,55.8    ,530    ,54.0    ,18    ,3.3    ,2.2  ,–,4.4  
01,18,Alabama,Women who maintain families,270    ,161    ,59.6    ,142    ,52.6    ,19    ,11.7    ,8.0  ,–,15.4  
01,19,Alabama,"Total, 16 to 19 years",238    ,68    ,28.4    ,52    ,21.7    ,16    ,23.6    ,15.5  ,–,31.7  
01,20,Alabama,"Total, 20 to 24 years",357    ,251    ,70.2    ,215    ,60.3    ,36    ,14.2    ,10.9  ,–,17.5  
01,21,Alabama,"Total, 25 to 34 years",575    ,452    ,78.6    ,412    ,71.7    ,40    ,8.7    ,6.8  ,–,10.6  
