State Name,Total Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio 
ALABAMA,744637,51877.22,14.35
ALASKA,131489,7682.18,17.12
AMERICAN SAMOA,–,–,†
ARIZONA,1089384,48866.42,22.29
ARKANSAS,486157,34131.42,14.24
BUREAU OF INDIAN EDUCATION,–,5308.35,†
CALIFORNIA,6299451,266254.85,23.66
COLORADO,863561,48921.79,17.65
CONNECTICUT,550954,43931.33,12.54
DELAWARE,129026,9257,13.94
DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,–,†
DISTRICT OF COLUMBIA,76140,5925.1,12.85
FLORIDA,2692162,176537.21,15.25
GEORGIA,1703332,109364.9,15.57
GUAM,31186,2291,13.61
HAWAII,184760,11608.2,15.92
IDAHO,284834,14563.19,19.56
ILLINOIS,2072880,135700.7,15.28
INDIANA,1041369,59863.28,17.4
IOWA,499825,35080.24,14.25
KANSAS,489043,41243.2,11.86
KENTUCKY,685167,42769.46,16.02
LOUISIANA,710903,46493.41,15.29
MAINE,185739,15222.08,12.2
MARYLAND,859638,57718.49,14.89
MASSACHUSETTS,954773,70636.26,13.52
MICHIGAN,1555370,86153.59,18.05
MINNESOTA,845404,53584.59,15.78
MISSISSIPPI,493650,32613.46,15.14
MISSOURI,917900,66248.19,13.86
MONTANA,142908,10199.89,14.01
NEBRASKA,303505,22102.87,13.73
NEVADA,445707,20694.95,21.54
NEW HAMPSHIRE,188974,14924.7,12.66
NEW JERSEY,1372203,110928.64,12.37
NEW MEXICO,338220,22200.73,15.23
NEW YORK,2710703,207060.33,13.09
NORTH CAROLINA,1518465,98590.41,15.4
NORTH DAKOTA,101111,8677.44,11.65
NORTHERN MARIANAS,10646,409,26.03
OHIO,1729916,105999.8,16.32
OKLAHOMA,673483,41774.7,16.12
OREGON,587564,26410.15,22.25
PENNSYLVANIA,1763677,123146.79,14.32
PUERTO RICO,434609,30986,14.03
RHODE ISLAND,142481,9871.31,14.43
SOUTH CAROLINA,735998,48072.1,15.31
SOUTH DAKOTA,130471,9333.89,13.98
TENNESSEE,993496,66406.23,14.96
TEXAS,5077659,327356.92,15.51
U.S. VIRGIN ISLANDS,15192,1129,13.46
UTAH,613279,26609.86,23.05
VERMONT,89624,8402.74,10.67
VIRGINIA,1265419,89388.63,14.16
WASHINGTON,1051694,53698.77,19.59
WEST VIRGINIA,283044,20101.15,14.08
WISCONSIN,872436,57550.78,15.16
WYOMING,91533,7349.54,12.45
