State Name,Total Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio ,Year
ALABAMA,742444,41802.18,17.76,
ALASKA,132872,7742.85,17.16,
AMERICAN SAMOA,12620,0,†,
ARIZONA,1110851,47867.58,23.21,
ARKANSAS,496085,35799.86,13.86,
BUREAU OF INDIAN EDUCATION,46330,0,†,
CALIFORNIA,6304266,271523.05,23.22,
COLORADO,910280,52373.47,17.38,
CONNECTICUT,531288,45081.41,11.79,
DELAWARE,136293,9398.68,14.5,
DISTRICT OF COLUMBIA,87315,6659.32,13.11,
FLORIDA,2832424,186128.02,15.22,
GEORGIA,1768642,116021.7,15.24,
GUAM,30112,2202,13.67,
HAWAII,180837,12033.47,15.03,
IDAHO,301186,16591.97,18.15,
ILLINOIS,2005153,128203.64,15.64,
INDIANA,1054187,61018.37,17.28,
IOWA,511850,35552.6,14.4,
KANSAS,497088,36387.27,13.66,
KENTUCKY,680978,42064.18,16.19,
LOUISIANA,715135,40280.89,17.75,
MAINE,180473,14760.1,12.23,
MARYLAND,893684,60174.75,14.85,
MASSACHUSETTS,964791,73381.11,13.15,
MICHIGAN,1516398,84472.51,17.95,
MINNESOTA,884944,57259.83,15.45,
MISSISSIPPI,478321,31624.51,15.13,
MISSOURI,915472,68496.29,13.37,
MONTANA,149474,10515.4,14.21,
NEBRASKA,323766,23771.26,13.62,
NEVADA,485785,23708.98,20.49,
NEW HAMPSHIRE,179433,14588.8,12.3,
NEW JERSEY,1408102,115496.09,12.19,
NEW MEXICO,334345,21091.98,15.85,
NEW YORK,2724663,213158.85,12.78,
NORTH CAROLINA,1553513,100400.79,15.47,
NORTH DAKOTA,111920,9283.52,12.06,
OHIO,1704399,98912.16,17.23,
OKLAHOMA,695092,41596.76,16.71,
OREGON,608014,29909.17,20.33,
PENNSYLVANIA,1726809,121917.67,14.16,
PUERTO RICO,346096,28039,12.34,
RHODE ISLAND,142949,10686.99,13.38,
SOUTH CAROLINA,777507,52466.8,14.82,
SOUTH DAKOTA,137823,9832.61,14.02,
TENNESSEE,1001967,64019.4,15.65,
TEXAS,5401341,356877.48,15.14,
U.S. VIRGIN ISLANDS,10868,1066,10.2,
UTAH,668274,29211.6,22.88,
VERMONT,88028,8313.18,10.59,
VIRGINIA,1291462,85936.47,15.03,
WASHINGTON,1110367,60183.24,18.45,
WEST VIRGINIA,272266,19238.61,14.15,
WISCONSIN,860753,58597.65,14.69,
WYOMING,94258,7334.63,12.85,
