State Name,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio ,Year
ALABAMA,42113.64,17.56,
ALASKA,7656.78,17.1,
AMERICAN SAMOA,0,†,
ARIZONA,48510.41,23.53,
ARKANSAS,38019.16,13.03,
BUREAU OF INDIAN EDUCATION,5585,7.83,
CALIFORNIA,271805.2,23.08,
COLORADO,53146.65,17.15,
CONNECTICUT,42827.56,12.3,
DELAWARE,9623.64,14.38,
DISTRICT OF COLUMBIA,7312.33,12.82,
FLORIDA,164398.7,17.31,
GEORGIA,117159.3,15.08,
GUAM,2163,13.74,
HAWAII,12132.1,14.94,
IDAHO,16745.31,18.54,
ILLINOIS,132423.1,14.97,
INDIANA,61154.81,17.26,
IOWA,35618.46,14.45,
KANSAS,36723.89,13.55,
KENTUCKY,41826.9,16.21,
LOUISIANA,38913.16,18.29,
MAINE,15033.9,12,
MARYLAND,60698.9,14.78,
MASSACHUSETTS,73868.49,13.03,
MICHIGAN,85015.36,17.69,
MINNESOTA,57698.44,15.41,
MISSISSIPPI,31962.71,14.75,
MISSOURI,68498.46,13.34,
MONTANA,10575.24,14.07,
NEBRASKA,23911.6,13.65,
NEVADA,23240,21.45,
NEW HAMPSHIRE,14643.5,12.19,
NEW JERSEY,116188.6,12.05,
NEW MEXICO,21139.21,15.78,
NEW YORK,212156.9,12.73,
NORTH CAROLINA,100220.3,15.49,
NORTH DAKOTA,9470.08,12.02,
OHIO,101739.4,16.67,
OKLAHOMA,42447.9,16.46,
OREGON,30151.69,20.21,
PENNSYLVANIA,123350.4,14.03,
PUERTO RICO,25424,12.09,
RHODE ISLAND,10749.13,13.34,
SOUTH CAROLINA,52729.5,14.81,
SOUTH DAKOTA,9865.42,14.09,
TENNESSEE,64116,15.72,
TEXAS,359575.9,15.11,
U.S. VIRGIN ISLANDS,1020,10.51,
UTAH,29753.4,22.75,
VERMONT,8316.97,10.5,
VIRGINIA,86973.59,14.82,
WASHINGTON,61837.41,18.17,
WEST VIRGINIA,18911.6,14.17,
WISCONSIN,59483.65,14.45,
WYOMING,7327.39,12.87,
