,State Name,Total Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio 
0,ALABAMA,744930,42532.95,17.51
1,ALASKA,132737,7824.91,16.96
2,AMERICAN SAMOA,–,0.0,†
3,ARIZONA,1123137,48220.08,23.29
4,ARKANSAS,493447,35730.3,13.81
5,BUREAU OF INDIAN EDUCATION,45399,0.0,†
6,CALIFORNIA,6309138,271287.08,23.26
7,COLORADO,905019,52014.13,17.4
8,CONNECTICUT,535118,42343.2,12.64
9,DELAWARE,136264,9208.2,14.8
10,DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,0.0,†
11,DISTRICT OF COLUMBIA,85850,6726.99,12.76
12,FLORIDA,2816791,186339.1,15.12
13,GEORGIA,1764346,114762.5,15.37
14,GUAM,30758,2289.0,13.44
15,HAWAII,181550,11781.66,15.41
16,IDAHO,297200,16203.9,18.34
17,ILLINOIS,2026718,128893.43,15.72
18,INDIANA,1049547,60161.63,17.45
19,IOWA,509831,35808.04,14.24
20,KANSAS,494347,36193.25,13.66
21,KENTUCKY,684017,42028.74,16.27
22,LOUISIANA,716293,48408.12,14.8
23,MAINE,180512,14750.1,12.24
24,MARYLAND,886221,59703.26,14.84
25,MASSACHUSETTS,964514,72413.04,13.32
26,MICHIGAN,1528666,83597.16,18.29
27,MINNESOTA,875021,56714.54,15.43
28,MISSISSIPPI,483150,31924.48,15.13
29,MISSOURI,915040,67926.23,13.47
30,MONTANA,146375,10555.18,13.87
31,NEBRASKA,319194,23610.86,13.52
32,NEVADA,473744,23704.67,19.99
33,NEW HAMPSHIRE,180888,14759.6,12.26
34,NEW JERSEY,1410421,115728.83,12.19
35,NEW MEXICO,336263,21331.02,15.76
36,NEW YORK,2729776,209151.31,13.05
37,NORTH CAROLINA,1550062,100219.61,15.47
38,NORTH DAKOTA,109706,9265.3,11.84
39,OHIO,1710143,102600.18,16.67
40,OKLAHOMA,693903,41089.67,16.89
41,OREGON,578947,29755.96,19.46
42,PENNSYLVANIA,1727497,122551.85,14.1
43,PUERTO RICO,365181,28899.0,12.64
44,RHODE ISLAND,142150,10688.74,13.3
45,SOUTH CAROLINA,771250,50789.4,15.19
46,SOUTH DAKOTA,136302,9777.16,13.94
47,TENNESSEE,1001562,64270.3,15.58
48,TEXAS,5360849,352808.91,15.19
49,U.S. VIRGIN ISLANDS,13194,1154.0,11.43
50,UTAH,659801,28841.23,22.88
51,VERMONT,88428,8186.57,10.8
52,VIRGINIA,1287026,91627.58,14.05
53,WASHINGTON,1101711,58815.27,18.73
54,WEST VIRGINIA,273855,19356.2,14.15
55,WISCONSIN,864432,59010.89,14.65
56,WYOMING,94170,7505.65,12.55
57,,,,
58,,,,
59,"Data Source: U.S. Department of Education, National Center for Education Statistics, Common Core of Data (CCD), ""State Nonfiscal Public Elementary/Secondary Education Survey"", 2016-17 v.1a.",,,
60,,,,
61,† indicates that the data are not applicable.,,,
62,– indicates that the data are missing.,,,
63,‡ indicates that the data do not meet NCES data quality standards.,,,
64,ALABAMA,746204,47161.77,15.82
65,ALASKA,130944,7898.26,16.58
66,AMERICAN SAMOA,–,–,–
67,ARIZONA,1102445,48358.73,22.8
68,ARKANSAS,489979,34933.04,14.03
69,BUREAU OF INDIAN EDUCATION,–,–,–
70,CALIFORNIA,6312623,259505.79,24.33
71,COLORADO,876999,50157.36,17.48
72,CONNECTICUT,546200,43443.09,12.57
73,DELAWARE,131687,9388.06,14.03
74,DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,–,–
75,DISTRICT OF COLUMBIA,78153,5991.43,13.04
76,FLORIDA,2720744,177853.2,15.3
77,GEORGIA,1723909,109441,15.75
78,GUAM,33414,2291,14.58
79,HAWAII,186825,11780.65,15.86
80,IDAHO,296476,15001.72,19.76
81,ILLINOIS,2066990,136355.18,15.16
82,INDIANA,1047385,59823.14,17.51
83,IOWA,502964,35396.65,14.21
84,KANSAS,496440,38152.9,13.01
85,KENTUCKY,677389,41820.21,16.2
86,LOUISIANA,711491,46436.91,15.32
87,MAINE,183995,15451.67,11.91
