,State,Ratio,Year
0,Alabama,15.77,2009
1,Alaska,16.29,2009
2,Arizona,20.75,2009
3,Arkansas,12.9,2009
4,California,19.8,2009
5,Colorado,16.97,2009
6,Connecticut,12.94,2009
7,Delaware,14.68,2009
8,District Of Columbia,11.86,2009
9,Dodds (Domestic),–,2009
10,Dodds (Overseas),–,2009
11,Florida,14.33,2009
12,Georgia,14.39,2009
13,Hawaii,15.71,2009
14,Idaho,18.18,2009
15,Illinois,15.19,2009
16,Indiana,16.81,2009
17,Iowa,13.72,2009
18,Kansas,13.67,2009
19,Kentucky,16.2,2009
20,Louisiana,13.92,2009
21,Maine,11.59,2009
22,Maryland,14.51,2009
23,Massachusetts,13.69,2009
24,Michigan,17.79,2009
25,Minnesota,15.84,2009
26,Mississippi,14.88,2009
27,Missouri,13.54,2009
28,Montana,13.48,2009
29,Nebraska,13.27,2009
30,Nevada,19.41,2009
31,New Hampshire,12.73,2009
32,New Jersey,12.11,2009
33,New Mexico,14.72,2009
34,New York,12.88,2009
35,North Carolina,14.12,2009
36,North Dakota,11.36,2009
37,Ohio,15.84,2009
38,Oklahoma,15.37,2009
39,Oregon,20.26,2009
40,Pennsylvania,13.64,2009
41,Rhode Island,12.77,2009
42,South Carolina,15.39,2009
43,South Dakota,13.27,2009
44,Tennessee,14.88,2009
45,Texas,14.56,2009
46,Utah,22.31,2009
47,Vermont,10.47,2009
48,Virginia,17.58,2009
49,Washington,19.37,2009
50,West Virginia,13.93,2009
51,Wisconsin,14.93,2009
52,Wyoming,12.3,2009
53,Alabama,15.31,2010
54,Alaska,16.17,2010
55,Arizona,21.42,2010
56,Arkansas,14.07,2010
57,California,24.12,2010
58,Colorado,17.37,2010
59,Connecticut,13.05,2010
60,Delaware,14.49,2010
61,District Of Columbia,12.03,2010
62,Florida,15.05,2010
63,Georgia,14.91,2010
64,Hawaii,15.76,2010
65,Idaho,17.6,2010
66,Illinois,15.73,2010
67,Indiana,18.02,2010
68,Iowa,14.31,2010
69,Kansas,13.96,2010
70,Kentucky,16.01,2010
71,Louisiana,14.32,2010
72,Maine,12.29,2010
73,Maryland,14.59,2010
74,Massachusetts,13.9,2010
75,Michigan,17.91,2010
76,Minnesota,15.91,2010
77,Mississippi,15.21,2010
78,Missouri,13.77,2010
79,Montana,13.68,2010
80,Nebraska,13.36,2010
81,Nevada,20.02,2010
82,New Hampshire,12.67,2010
83,New Jersey,12.73,2010
84,New Mexico,15.07,2010
85,New York,12.92,2010
86,North Carolina,15.15,2010
87,North Dakota,11.44,2010
88,Ohio,16.05,2010
89,Oklahoma,15.99,2010
90,Oregon,20.3,2010
91,Pennsylvania,13.8,2010
92,Rhode Island,12.83,2010
93,South Carolina,16.05,2010
94,South Dakota,13.26,2010
95,Tennessee,14.84,2010
96,Texas,14.73,2010
97,Utah,22.8,2010
98,Vermont,11.56,2010
99,Virginia,17.64,2010
100,Washington,19.35,2010
101,West Virginia,13.91,2010
102,Wisconsin,15.14,2010
103,Wyoming,12.49,2010
104,Alabama,15.6,2011
105,Alaska,16.22,2011
106,Arizona,21.27,2011
107,Arkansas,14.22,2011
108,California,23.4,2011
109,Colorado,17.77,2011
110,Connecticut,12.66,2011
111,Delaware,15.02,2011
112,District Of Columbia,11.77,2011
113,Florida,15.25,2011
114,Georgia,15.16,2011
115,Hawaii,15.95,2011
116,Idaho,17.5,2011
117,Illinois,15.81,2011
118,Indiana,16.7,2011
119,Iowa,14.31,2011
120,Kansas,13,2011
121,Kentucky,16.29,2011
122,Louisiana,14.46,2011
123,Maine,12.69,2011
124,Maryland,14.83,2011
125,Massachusetts,13.75,2011
126,Michigan,18.09,2011
127,Minnesota,15.89,2011
128,Mississippi,15.33,2011
129,Missouri,13.83,2011
130,Montana,14.02,2011
131,Nebraska,13.58,2011
132,Nevada,20.8,2011
133,New Hampshire,12.75,2011
134,New Jersey,12.36,2011
135,New Mexico,15.36,2011
136,New York,12.91,2011
137,North Carolina,15.5,2011
138,North Dakota,11.45,2011
139,Ohio,16.12,2011
140,Oklahoma,16.11,2011
141,Oregon,21.21,2011
142,Pennsylvania,14.21,2011
143,Rhode Island,12.52,2011
144,South Carolina,15.54,2011
145,South Dakota,13.84,2011
146,Tennessee,15.06,2011
147,Texas,15.42,2011
148,Utah,23.06,2011
149,Vermont,10.75,2011
150,Virginia,13.85,2011
151,Washington,19.68,2011
152,West Virginia,13.97,2011
153,Wisconsin,15.49,2011
154,Wyoming,11.48,2011
155,Alabama,14.35,2012
156,Alaska,17.12,2012
157,Arizona,22.29,2012
158,Arkansas,14.24,2012
159,California,23.66,2012
160,Colorado,17.65,2012
161,Connecticut,12.54,2012
162,Delaware,13.94,2012
163,District Of Columbia,12.85,2012
164,Florida,15.25,2012
165,Georgia,15.57,2012
166,Hawaii,15.92,2012
167,Idaho,19.56,2012
168,Illinois,15.28,2012
169,Indiana,17.4,2012
170,Iowa,14.25,2012
171,Kansas,11.86,2012
172,Kentucky,16.02,2012
173,Louisiana,15.29,2012
174,Maine,12.2,2012
175,Maryland,14.89,2012
176,Massachusetts,13.52,2012
177,Michigan,18.05,2012
178,Minnesota,15.78,2012
179,Mississippi,15.14,2012
180,Missouri,13.86,2012
181,Montana,14.01,2012
