,State,Total Population,Total Below Poverty Level,Percentage Below Poverty Level,Year
0,Alabama,1120468,310590,27.7,2010
1,Alaska,184174,23773,12.9,2010
2,Arizona,1606108,392229,24.4,2010
3,Arkansas,699403,193081,27.6,2010
4,California,9157681,2012585,22.0,2010
5,Colorado,1213411,210532,17.4,2010
6,Connecticut,805841,103498,12.8,2010
7,Delaware,202599,36655,18.1,2010
8,District of Columbia,100353,30555,30.4,2010
9,Florida,3936572,923963,23.5,2010
10,Georgia,2457873,610722,24.8,2010
11,Hawaii,297573,41230,13.9,2010
12,Idaho,423333,80316,19.0,2010
13,Illinois,3086916,600045,19.4,2010
14,Indiana,1576511,342172,21.7,2010
15,Iowa,709670,115365,16.3,2010
16,Kansas,714624,131258,18.4,2010
17,Kentucky,1000440,262760,26.3,2010
18,Louisiana,1098598,299779,27.3,2010
19,Maine,268046,47727,17.8,2010
20,Maryland,1329061,173113,13.0,2010
21,Massachusetts,1400124,200817,14.3,2010
22,Michigan,2296548,538649,23.5,2010
23,Minnesota,1266102,192437,15.2,2010
24,Mississippi,743088,241595,32.5,2010
25,Missouri,1391495,290959,20.9,2010
26,Montana,218461,43818,20.1,2010
27,Nebraska,450755,81952,18.2,2010
28,Nevada,655955,144204,22.0,2010
29,New Hampshire,281750,28315,10.0,2010
30,New Jersey,2039064,295346,14.5,2010
31,New Mexico,511975,153558,30.0,2010
32,New York,4242462,900626,21.2,2010
33,North Carolina,2251648,559875,24.9,2010
34,North Dakota,148619,24116,16.2,2010
35,Ohio,2675006,623852,23.3,2010
36,Oklahoma,916217,226679,24.7,2010
37,Oregon,852442,183859,21.6,2010
38,Pennsylvania,2740484,522189,19.1,2010
39,Rhode Island,221694,42221,19.0,2010
40,South Carolina,1065290,277722,26.1,2010
41,South Dakota,197999,35960,18.2,2010
42,Tennessee,1469563,377066,25.7,2010
43,Texas,6800902,1751189,25.7,2010
44,Utah,862300,135565,15.7,2010
45,Vermont,126885,21143,16.7,2010
46,Virginia,1828009,264601,14.5,2010
47,Washington,1559990,284045,18.2,2010
48,West Virginia,376073,95744,25.5,2010
49,Wisconsin,1309886,249826,19.1,2010
50,Wyoming,134536,19253,14.3,2010
51,Alabama,1112128,306973,27.6,2011
52,Alaska,185165,26941,14.5,2011
53,Arizona,1597696,434950,27.2,2011
54,Arkansas,699550,196538,28.1,2011
55,California,9127413,2084522,22.8,2011
56,Colorado,1213679,217049,17.9,2011
57,Connecticut,794737,118809,14.9,2011
58,Delaware,201591,35216,17.5,2011
59,District of Columbia,104750,31769,30.3,2011
60,Florida,3933991,980002,24.9,2011
61,Georgia,2454763,646824,26.3,2011
62,Hawaii,299170,50834,17.0,2011
63,Idaho,416902,85173,20.4,2011
64,Illinois,3054532,658340,21.6,2011
65,Indiana,1566350,360859,23.0,2011
66,Iowa,710495,122828,17.3,2011
67,Kansas,709806,133556,18.8,2011
68,Kentucky,1004058,275394,27.4,2011
69,Louisiana,1103269,317468,28.8,2011
70,Maine,263100,49561,18.8,2011
71,Maryland,1322889,178725,13.5,2011
72,Massachusetts,1390897,211789,15.2,2011
73,Michigan,2255605,560109,24.8,2011
74,Minnesota,1260357,194260,15.4,2011
75,Mississippi,740522,235727,31.8,2011
76,Missouri,1385551,306038,22.1,2011
77,Montana,218867,43110,19.7,2011
78,Nebraska,451889,81943,18.1,2011
79,Nevada,653766,144440,22.1,2011
80,New Hampshire,276186,33031,12.0,2011
81,New Jersey,2019945,296198,14.7,2011
82,New Mexico,512460,157383,30.7,2011
83,New York,4213420,950921,22.6,2011
84,North Carolina,2265313,579725,25.6,2011
85,North Dakota,149019,21827,14.6,2011
86,Ohio,2649180,640884,24.2,2011
87,Oklahoma,920763,215804,23.4,2011
88,Oregon,843651,199489,23.6,2011
89,Pennsylvania,2721090,531993,19.6,2011
90,Rhode Island,215484,47127,21.9,2011
91,South Carolina,1067813,296759,27.8,2011
92,South Dakota,197093,35793,18.2,2011
93,Tennessee,1469704,385931,26.3,2011
94,Texas,6871955,1829214,26.6,2011
95,Utah,869967,138024,15.9,2011
96,Vermont,122636,18263,14.9,2011
97,Virginia,1828857,280115,15.3,2011
98,Washington,1546720,283176,18.3,2011
99,West Virginia,378008,97677,25.8,2011
100,Wisconsin,1297579,236730,18.2,2011
101,Wyoming,132442,20689,15.6,2011
102,Alabama,1111960,305610,27.5,2012
103,Alaska,184816,25700,13.9,2012
104,Arizona,1592610,429486,27.0,2012
105,Arkansas,699890,199617,28.5,2012
106,California,9104190,2167372,23.8,2012
107,Colorado,1212834,223970,18.5,2012
108,Connecticut,784780,116536,14.8,2012
109,Delaware,200844,34875,17.4,2012
110,District of Columbia,107877,28623,26.5,2012
111,Florida,3941640,1000736,25.4,2012
112,Georgia,2467462,672040,27.2,2012
113,Hawaii,299366,51233,17.1,2012
114,Idaho,418917,86532,20.7,2012
115,Illinois,3019933,624272,20.7,2012
116,Indiana,1562496,349524,22.4,2012
117,Iowa,710171,112573,15.9,2012
118,Kansas,709367,135006,19.0,2012
119,Kentucky,995294,263819,26.5,2012
120,Louisiana,1101862,310053,28.1,2012
121,Maine,259100,54065,20.9,2012
122,Maryland,1324739,183044,13.8,2012
123,Massachusetts,1383457,213206,15.4,2012
124,Michigan,2228071,554153,24.9,2012
125,Minnesota,1261005,183763,14.6,2012
126,Mississippi,737398,255839,34.7,2012
127,Missouri,1372076,310229,22.6,2012
128,Montana,215471,43733,20.3,2012
129,Nebraska,452729,80839,17.9,2012
130,Nevada,653420,156523,24.0,2012
131,New Hampshire,270216,42069,15.6,2012
132,New Jersey,2008358,310226,15.4,2012
133,New Mexico,509439,149404,29.3,2012
134,New York,4199069,958610,22.8,2012
135,North Carolina,2254240,586104,26.0,2012
136,North Dakota,150855,19841,13.2,2012
137,Ohio,2612510,620921,23.8,2012
138,Oklahoma,918995,221623,24.1,2012
139,Oregon,847022,195093,23.0,2012
140,Pennsylvania,2695837,532166,19.7,2012
141,Rhode Island,214020,41635,19.5,2012
142,South Carolina,1068623,287664,26.9,2012
143,South Dakota,199503,34901,17.5,2012
144,Tennessee,1468555,379319,25.8,2012
145,Texas,6897741,1776664,25.8,2012
146,Utah,872728,131915,15.1,2012
147,Vermont,121600,18816,15.5,2012
148,Virginia,1828574,278899,15.3,2012
149,Washington,1556116,288147,18.5,2012
150,West Virginia,373936,91967,24.6,2012
151,Wisconsin,1290825,235434,18.2,2012
152,Wyoming,132899,22474,16.9,2012
153,Alabama,1094482,297591,27.2,2013
154,Alaska,184661,22377,12.1,2013
155,Arizona,1589602,421100,26.5,2013
156,Arkansas,697422,202456,29.0,2013
157,California,9029269,2121351,23.5,2013
158,Colorado,1226054,206642,16.9,2013
159,Connecticut,775131,112723,14.5,2013
160,Delaware,200654,36060,18.0,2013
161,District of Columbia,109340,29705,27.2,2013
162,Florida,3954275,968765,24.5,2013
163,Georgia,2456254,650910,26.5,2013
164,Hawaii,302318,40288,13.3,2013
165,Idaho,421646,80676,19.1,2013
166,Illinois,2974889,616060,20.7,2013
167,Indiana,1553397,345056,22.2,2013
168,Iowa,712071,115194,16.2,2013
169,Kansas,709813,132460,18.7,2013
170,Kentucky,994926,251262,25.3,2013
171,Louisiana,1096920,304244,27.7,2013
172,Maine,255203,45159,17.7,2013
173,Maryland,1326375,180351,13.6,2013
174,Massachusetts,1370296,223480,16.3,2013
175,Michigan,2198976,523798,23.8,2013
176,Minnesota,1258929,176719,14.0,2013
177,Mississippi,724578,246298,34.0,2013
178,Missouri,1367766,304178,22.2,2013
179,Montana,219350,46806,21.3,2013
180,Nebraska,456064,80653,17.7,2013
181,Nevada,651791,147696,22.7,2013
182,New Hampshire,265245,27122,10.2,2013
183,New Jersey,1996508,333375,16.7,2013
184,New Mexico,502640,156610,31.2,2013
185,New York,4166450,950077,22.8,2013
186,North Carolina,2245986,565996,25.2,2013
187,North Dakota,158720,19070,12.0,2013
188,Ohio,2600819,591328,22.7,2013
189,Oklahoma,930279,223114,24.0,2013
190,Oregon,842193,182088,21.6,2013
191,Pennsylvania,2665896,516390,19.4,2013
192,Rhode Island,208700,44923,21.5,2013
193,South Carolina,1062653,291832,27.5,2013
194,South Dakota,202999,37739,18.6,2013
195,Tennessee,1468067,389536,26.5,2013
196,Texas,6952776,1740560,25.0,2013
197,Utah,883199,130345,14.8,2013
198,Vermont,122125,18697,15.3,2013
199,Virginia,1835964,288139,15.7,2013
200,Washington,1566636,295069,18.8,2013
201,West Virginia,370447,100008,27.0,2013
202,Wisconsin,1283530,236697,18.4,2013
203,Wyoming,137889,18187,13.2,2013
204,Alabama,1092537,302736,27.7,2014
205,Alaska,182498,28851,15.8,2014
206,Arizona,1591778,407695,25.6,2014
207,Arkansas,695711,183830,26.4,2014
208,California,9014549,2047259,22.7,2014
209,Colorado,1230739,190045,15.4,2014
210,Connecticut,764420,113712,14.9,2014
211,Delaware,200374,35491,17.7,2014
212,District of Columbia,113123,29404,26.0,2014
213,Florida,3986311,948465,23.8,2014
214,Georgia,2455901,645855,26.3,2014
215,Hawaii,300803,44363,14.7,2014
216,Idaho,424650,80025,18.8,2014
217,Illinois,2935193,593186,20.2,2014
218,Indiana,1547147,333348,21.5,2014
219,Iowa,710561,108888,15.3,2014
220,Kansas,711321,126063,17.7,2014
221,Kentucky,991330,259751,26.2,2014
222,Louisiana,1098368,306198,27.9,2014
223,Maine,251129,48007,19.1,2014
224,Maryland,1331468,173305,13.0,2014
225,Massachusetts,1370260,207673,15.2,2014
226,Michigan,2181230,492853,22.6,2014
227,Minnesota,1262433,188717,14.9,2014
228,Mississippi,720737,211726,29.4,2014
229,Missouri,1359410,287081,21.1,2014
230,Montana,219307,40619,18.5,2014
