,State,Year,Data
0,Alabama,2019,10000
1,Alabama,2016,10000
2,Alabama,2017,13000
3,Alabama,2012,16000
4,Alabama,2014,14000
5,Alabama,2011,17000
6,Alabama,2015,11000
7,Alabama,2010,21000
8,Alabama,2009,19000
9,Alabama,2013,13000
10,Alabama,2018,9000
11,Alabama,2008,21000
12,Alabama,2007,26000
13,Alabama,2005,22000
14,Alabama,2006,24000
15,Alabama,2003,24000
16,Alabama,2004,15000
17,Alabama,2002,36000
18,Alabama,2001,27000
19,Alabama,2000,31000
20,Alaska,2000,3000
21,Alaska,2001,4000
22,Alaska,2002,2000
23,Alaska,2004,2000
24,Alaska,2003,4000
25,Alaska,2006,3000
26,Alaska,2005,4000
27,Alaska,2007,3000
28,Alaska,2008,4000
29,Alaska,2018,1000
30,Alaska,2013,2000
31,Alaska,2009,3000
32,Alaska,2010,3000
33,Alaska,2015,2000
34,Alaska,2011,3000
35,Alaska,2012,2000
36,Alaska,2014,2000
37,Alaska,2017,1000
38,Alaska,2016,1000
39,Alaska,2019,2000
40,Arizona,2019,20000
41,Arizona,2016,21000
42,Arizona,2017,21000
43,Arizona,2014,19000
44,Arizona,2012,20000
45,Arizona,2011,24000
46,Arizona,2015,23000
47,Arizona,2010,30000
48,Arizona,2009,27000
49,Arizona,2013,21000
50,Arizona,2018,22000
51,Arizona,2008,32000
52,Arizona,2007,34000
53,Arizona,2005,28000
54,Arizona,2006,31000
55,Arizona,2003,35000
56,Arizona,2004,31000
57,Arizona,2002,34000
58,Arizona,2001,39000
59,Arizona,2000,49000
60,Arkansas,2000,17000
61,Arkansas,2001,10000
62,Arkansas,2002,14000
63,Arkansas,2004,10000
64,Arkansas,2003,9000
65,Arkansas,2006,10000
66,Arkansas,2005,12000
67,Arkansas,2007,11000
68,Arkansas,2008,15000
69,Arkansas,2018,8000
70,Arkansas,2013,7000
71,Arkansas,2009,11000
72,Arkansas,2010,14000
73,Arkansas,2015,9000
74,Arkansas,2011,7000
75,Arkansas,2012,9000
76,Arkansas,2014,8000
77,Arkansas,2017,6000
78,Arkansas,2016,8000
79,Arkansas,2019,6000
80,California,2019,48000
81,California,2016,62000
82,California,2017,57000
83,California,2012,79000
84,California,2014,62000
85,California,2011,88000
86,California,2015,59000
87,California,2010,114000
88,California,2009,113000
89,California,2013,73000
90,California,2018,50000
91,California,2008,141000
92,California,2007,144000
93,California,2005,134000
94,California,2006,141000
95,California,2003,136000
96,California,2004,123000
97,California,2002,143000
98,California,2001,188000
99,California,2000,180000
100,Colorado,2000,25000
101,Colorado,2001,32000
102,Colorado,2002,25000
103,Colorado,2004,18000
104,Colorado,2003,17000
105,Colorado,2006,23000
106,Colorado,2005,19000
107,Colorado,2007,18000
108,Colorado,2008,20000
109,Colorado,2018,11000
110,Colorado,2013,11000
111,Colorado,2009,20000
112,Colorado,2010,15000
113,Colorado,2015,14000
114,Colorado,2011,16000
115,Colorado,2012,11000
116,Colorado,2014,13000
117,Colorado,2017,12000
118,Colorado,2016,13000
119,Colorado,2019,11000
120,Connecticut,2019,4000
121,Connecticut,2016,6000
122,Connecticut,2017,3000
123,Connecticut,2014,6000
124,Connecticut,2012,6000
125,Connecticut,2011,7000
126,Connecticut,2015,5000
127,Connecticut,2009,9000
128,Connecticut,2010,8000
129,Connecticut,2013,6000
130,Connecticut,2018,4000
131,Connecticut,2008,10000
132,Connecticut,2007,8000
133,Connecticut,2005,7000
134,Connecticut,2006,8000
135,Connecticut,2003,13000
136,Connecticut,2004,7000
137,Connecticut,2002,10000
138,Connecticut,2001,11000
139,Connecticut,2000,16000
140,Delaware,2000,5000
141,Delaware,2001,4000
142,Delaware,2002,4000
143,Delaware,2004,3000
144,Delaware,2003,3000
145,Delaware,2006,3000
146,Delaware,2005,4000
147,Delaware,2007,4000
148,Delaware,2008,4000
149,Delaware,2013,1000
150,Delaware,2018,2000
151,Delaware,2010,3000
152,Delaware,2009,3000
153,Delaware,2015,2000
154,Delaware,2011,3000
155,Delaware,2012,3000
156,Delaware,2014,1000
157,Delaware,2017,1000
158,Delaware,2016,3000
159,Delaware,2019,2000
160,District of Columbia,2019,1000
161,District of Columbia,2016,<500
162,District of Columbia,2017,1000
163,District of Columbia,2014,1000
164,District of Columbia,2012,1000
165,District of Columbia,2011,2000
166,District of Columbia,2015,1000
167,District of Columbia,2010,2000
168,District of Columbia,2009,3000
169,District of Columbia,2018,1000
170,District of Columbia,2013,2000
171,District of Columbia,2008,3000
172,District of Columbia,2007,3000
173,District of Columbia,2006,2000
174,District of Columbia,2005,1000
175,District of Columbia,2003,1000
176,District of Columbia,2004,1000
177,District of Columbia,2002,2000
178,District of Columbia,2001,2000
179,District of Columbia,2000,3000
180,Florida,2000,88000
181,Florida,2001,85000
182,Florida,2002,66000
183,Florida,2004,70000
184,Florida,2003,61000
