,State,Employed per 1k,% Employed,Unemployed per 1k,% Unemployed,Year
0,Alabama,51,21.7,23,30.8,2010
1,Alaska,14,34.7,3,19.0,2010
2,Arizona,73,21.1,33,31.5,2010
3,Arkansas,39,26.1,15,28.2,2010
4,California,384,18.4,201,34.4,2010
5,Colorado,69,27.1,23,25.3,2010
6,Connecticut,66,31.6,19,21.9,2010
7,Delaware,13,25.0,4,23.2,2010
8,District of Columbia,3,11.1,3,49.9,2010
9,Florida,183,20.1,84,31.4,2010
10,Georgia,88,15.9,50,36.3,2010
11,Hawaii,15,21.6,5,26.5,2010
12,Idaho,30,33.7,11,26.7,2010
13,Illinois,187,25.8,71,27.6,2010
14,Indiana,95,23.1,36,27.7,2010
15,Iowa,77,44.3,15,16.4,2010
16,Kansas,62,39.8,14,18.4,2010
17,Kentucky,67,31.2,23,25.4,2010
18,Louisiana,67,23.7,21,23.8,2010
19,Maine,28,38.4,8,21.7,2010
20,Maryland,94,28.9,28,23.0,2010
21,Massachusetts,113,28.7,31,21.4,2010
22,Michigan,183,29.3,72,28.3,2010
23,Minnesota,106,40.5,28,21.1,2010
24,Mississippi,40,20.8,20,33.2,2010
25,Missouri,102,33.4,30,22.5,2010
26,Montana,14,29.4,5,25.1,2010
27,Nebraska,41,43.0,6,13.1,2010
28,Nevada,32,24.4,16,32.8,2010
29,New Hampshire,24,35.5,5,17.9,2010
30,New Jersey,117,23.5,31,20.9,2010
31,New Mexico,21,20.5,9,28.7,2010
32,New York,223,21.3,75,25.1,2010
33,North Carolina,111,21.5,41,27.0,2010
34,North Dakota,16,45.2,2,12.6,2010
35,Ohio,208,33.0,64,23.6,2010
36,Oklahoma,62,29.6,18,22.0,2010
37,Oregon,54,29.2,22,28.8,2010
38,Pennsylvania,232,33.0,54,18.9,2010
39,Rhode Island,22,33.5,8,25.9,2010
40,South Carolina,52,22.0,25,32.1,2010
41,South Dakota,20,43.2,3,13.7,2010
42,Tennessee,84,25.2,30,26.3,2010
43,Texas,359,25.6,103,22.3,2010
