,Selected Geographies,Total,Not enrolled,Year
0, -> Total,46014047,31476752,2010
1, -> Total -> Total No,46014047,31476752,2010
2,Alabama,590311,406761,2010
3,Alaska,114458,87465,2010
4,Arizona,879262,622064,2010
5,Arkansas,434070,325029,2010
6,California,6119088,3928171,2010
7,Colorado,702967,496847,2010
8,Connecticut,502237,306654,2010
9,Delaware,136750,103224,2010
10,District of Columbia,133167,93029,2010
11,Florida,2435941,1658256,2010
12,Georgia,1373906,980772,2010
13,Hawaii,205336,142612,2010
14,Idaho,207082,153117,2010
15,Illinois,1973561,1341127,2010
16,Indiana,883809,600717,2010
17,Iowa,486046,337036,2010
18,Kansas,449009,315434,2010
19,Kentucky,645298,480074,2010
20,Louisiana,682713,505229,2010
21,Maine,165491,111414,2010
22,Maryland,975977,660638,2010
23,Massachusetts,1007427,622741,2010
24,Michigan,1518210,888070,2010
25,Minnesota,854119,579995,2010
26,Mississippi,427129,321659,2010
27,Missouri,880922,652083,2010
28,Montana,166968,111872,2010
29,Nebraska,269020,172012,2010
30,Nevada,361041,254838,2010
31,New Hampshire,190956,131292,2010
32,New Jersey,1173280,737055,2010
33,New Mexico,308992,184430,2010
34,New York,3187283,2236091,2010
35,North Carolina,1329455,953180,2010
36,North Dakota,110587,82051,2010
37,Ohio,1563421,1049997,2010
38,Oklahoma,507162,385906,2010
39,Oregon,503855,359598,2010
40,Pennsylvania,1893459,1333803,2010
41,Rhode Island,173456,109187,2010
42,South Carolina,695500,487247,2010
43,South Dakota,112780,78558,2010
44,Tennessee,857248,597337,2010
45,Texas,3934385,2713484,2010
46,Utah,481959,362115,2010
47,Vermont,79953,59837,2010
48,Virginia,1214207,830156,2010
49,Washington,984743,744461,2010
50,West Virginia,220853,168643,2010
51,Wisconsin,826322,553675,2010
52,Wyoming,82876,59709,2010
0, -> Total,46384287,31262442,2011
1, -> Total -> Total No,46384287,31262442,2011
2,Alabama,636184,451027,2011
3,Alaska,121257,91783,2011
4,Arizona,1060844,683367,2011
5,Arkansas,415609,307171,2011
6,California,5986784,3808924,2011
7,Colorado,728392,504286,2011
8,Connecticut,504171,318931,2011
9,Delaware,124798,94040,2011
10,District of Columbia,138014,97273,2011
11,Florida,2541221,1660320,2011
12,Georgia,1436023,969040,2011
13,Hawaii,197783,139825,2011
14,Idaho,205080,160194,2011
15,Illinois,1985523,1326777,2011
16,Indiana,909985,632414,2011
17,Iowa,404655,256881,2011
18,Kansas,464060,354464,2011
19,Kentucky,644884,477874,2011
20,Louisiana,690765,499607,2011
21,Maine,170282,125106,2011
22,Maryland,923241,563572,2011
23,Massachusetts,1042514,699062,2011
24,Michigan,1429951,898023,2011
25,Minnesota,805195,524949,2011
26,Mississippi,419413,297550,2011
27,Missouri,887911,625679,2011
28,Montana,135923,87652,2011
29,Nebraska,286702,194718,2011
30,Nevada,413540,293981,2011
31,New Hampshire,181154,128213,2011
32,New Jersey,1257531,817766,2011
33,New Mexico,342136,216072,2011
34,New York,3015644,1986615,2011
35,North Carolina,1373814,953769,2011
36,North Dakota,119061,85539,2011
37,Ohio,1693384,1086374,2011
38,Oklahoma,571482,438407,2011
39,Oregon,500876,339282,2011
40,Pennsylvania,1906504,1282264,2011
41,Rhode Island,158100,102699,2011
42,South Carolina,695773,505566,2011
43,South Dakota,125423,89122,2011
44,Tennessee,819488,551976,2011
45,Texas,3935850,2816699,2011
46,Utah,488387,335223,2011
47,Vermont,92672,67071,2011
48,Virginia,1280461,837856,2011
49,Washington,926937,652046,2011
50,West Virginia,252208,193174,2011
51,Wisconsin,851688,571403,2011
52,Wyoming,85010,60816,2011
0, -> Total,46216238,31247429,2012
1, -> Total -> Total No,46216238,31247429,2012
2,Alabama,677207,476620,2012
3,Alaska,103220,80017,2012
4,Arizona,974463,692539,2012
5,Arkansas,396704,318556,2012
6,California,6223583,3973335,2012
7,Colorado,810603,564911,2012
8,Connecticut,483923,308967,2012
9,Delaware,113481,75382,2012
10,District of Columbia,143879,108682,2012
11,Florida,2614239,1741230,2012
12,Georgia,1322870,869023,2012
13,Hawaii,202704,139774,2012
14,Idaho,189363,129023,2012
15,Illinois,1960378,1336127,2012
16,Indiana,962151,673890,2012
17,Iowa,421292,282056,2012
18,Kansas,485964,335765,2012
19,Kentucky,687796,506914,2012
20,Louisiana,652269,503198,2012
21,Maine,149299,101682,2012
22,Maryland,895340,566490,2012
23,Massachusetts,996456,624626,2012
24,Michigan,1321141,847311,2012
25,Minnesota,797933,507421,2012
26,Mississippi,386085,269704,2012
27,Missouri,808384,545829,2012
28,Montana,140885,90958,2012
29,Nebraska,265186,198050,2012
30,Nevada,434580,324009,2012
31,New Hampshire,163053,109485,2012
32,New Jersey,1229360,845478,2012
33,New Mexico,282447,187762,2012
34,New York,3268736,2122487,2012
35,North Carolina,1305448,889902,2012
36,North Dakota,115445,82735,2012
37,Ohio,1653250,1072050,2012
38,Oklahoma,567552,425194,2012
39,Oregon,552951,348919,2012
